txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-02-09,2026-02-11 00:00:00,0001231919-26-000135,SGP,"SpyGlass Pharma, Inc.",0001778922,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,"RA CAPITAL MANAGEMENT, L.P.",0001346824,,true,false,true,P,3441966.0,16.0,55071456.0,5966439.0,I,790538060.2987804,0.069663256920465
2026-02-09,2026-02-11 00:00:00,0001193125-26-046664,SGP,"SpyGlass Pharma, Inc.",0001778922,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Mathers Edward T,0001328625,,false,false,true,P,937500.0,16.0,15000000.0,6035038.0,I,790538060.2987804,0.018974418504696427
2026-02-09,2026-02-11 00:00:00,0001193125-26-046662,SGP,"SpyGlass Pharma, Inc.",0001778922,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Walker Paul Edward,0001553150,,false,false,true,P,937500.0,16.0,15000000.0,6035038.0,I,790538060.2987804,0.018974418504696427
2026-02-09,2026-02-11 00:00:00,0001193125-26-046668,SGP,"SpyGlass Pharma, Inc.",0001778922,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Makhzoumi Mohamad,0001630226,,false,false,true,P,937500.0,16.0,15000000.0,6035038.0,I,790538060.2987804,0.018974418504696427
2026-02-09,2026-02-11 00:00:00,0001193125-26-046663,SGP,"SpyGlass Pharma, Inc.",0001778922,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Chang Carmen,0001746342,,false,false,true,P,937500.0,16.0,15000000.0,6035038.0,I,790538060.2987804,0.018974418504696427
2026-02-09,2026-02-11 00:00:00,0001193125-26-046676,SGP,"SpyGlass Pharma, Inc.",0001778922,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Behbahani Ali,0001613867,,true,false,true,P,937500.0,16.0,15000000.0,6035038.0,I,790538060.2987804,0.018974418504696427
2026-02-09,2026-02-11 00:00:00,0001193125-26-046666,SGP,"SpyGlass Pharma, Inc.",0001778922,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,SANDELL SCOTT D,0001237289,,false,false,true,P,937500.0,16.0,15000000.0,6035038.0,I,790538060.2987804,0.018974418504696427
2026-02-09,2026-02-11 00:00:00,0001193125-26-046674,SGP,"SpyGlass Pharma, Inc.",0001778922,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Florence Anthony A. Jr.,0001559827,,false,false,true,P,937500.0,16.0,15000000.0,6035038.0,I,790538060.2987804,0.018974418504696427
2026-02-09,2026-02-11 00:00:00,0001193125-26-046670,SGP,"SpyGlass Pharma, Inc.",0001778922,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Yang Rick,0001851328,,false,false,true,P,937500.0,16.0,15000000.0,6035038.0,I,790538060.2987804,0.018974418504696427
2026-02-09,2026-02-11 00:00:00,0001193125-26-046671,SGP,"SpyGlass Pharma, Inc.",0001778922,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,"New Enterprise Associates 17, L.P.",0001768564,,false,false,true,P,937500.0,16.0,15000000.0,6035038.0,D,790538060.2987804,0.018974418504696427
