txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-29,2026-04-29 00:00:00,0001343118-26-000007,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,Dyer Joseph Wendell,0001343118,,true,false,false,P,1112.0,22.4745,24991.644,19953.0,D,850339990.6158447,2.939017837077169e-05
2026-04-28,2026-04-28 00:00:00,0002059253-26-000008,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,Iyer Sadasivam,0002059253,President,false,true,false,P,1110.0,22.67,25163.7,61905.0,D,850339990.6158447,2.9592516261378706e-05
2026-04-28,2026-04-28 00:00:00,0001958707-26-000004,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,Cunningham Rose,0001958707,Chief Accounting Officer,false,true,false,P,1125.0,22.27,25053.75,15587.0,D,850339990.6158447,2.9463215039263572e-05
2026-04-27,2026-04-27 00:00:00,0001550338-26-000004,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,Callaghan Brian J.,0001550338,,true,false,false,P,5121.0,20.2695,103800.1095,328950.0,I,850339990.6158447,0.00012206894965015639
2026-04-27,2026-04-27 00:00:00,0002027211-26-000004,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,Obermaier Patricia L,0002027211,,true,false,false,P,2500.0,20.605,51512.5,9548.0,D,850339990.6158447,6.0578710361126165e-05
2026-04-27,2026-04-27 00:00:00,0001677400-26-000006,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,Lindstrom Carol,0001677400,,true,false,false,P,240.0,20.1488,4835.712,11551.0,D,850339990.6158447,5.686798284645905e-06
2026-04-27,2026-04-27 00:00:00,0001677400-26-000006,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,Lindstrom Carol,0001677400,,true,false,false,P,7.0,20.16,141.12,11558.0,D,850339990.6158447,1.659571483846081e-07
2026-04-24,2026-04-27 00:00:00,0001550337-26-000004,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,Hanson Theodore S.,0001550337,Chief Executive Officer,true,true,false,P,51965.0,19.2396,999785.814,376843.0,I,850339990.6158447,0.001175748318359015
2026-04-24,2026-04-27 00:00:00,0001286215-26-000004,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,MATIN ARSHAD,0001286215,,true,false,false,P,10000.0,19.3462,193462.0,27069.0,D,850339990.6158447,0.0002275113509125783
2026-04-24,2026-04-27 00:00:00,0001227459-26-000004,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,HAWTHORNE MARIA R,0001227459,,true,false,false,P,5136.0,19.4922,100111.93920000001,15388.0,D,850339990.6158447,0.00011773166063552484
2026-04-24,2026-04-27 00:00:00,0001418423-26-000004,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,Perry Marie,0001418423,"EVP, Chief Financial Officer",false,true,false,P,5350.0,18.695,100018.25,58328.0,D,850339990.6158447,0.00011762148211748037
2026-04-24,2026-04-27 00:00:00,0001475853-26-000004,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,Frantz Mark A.,0001475853,,true,false,false,P,3800.0,18.92,71896.0,22001.0,D,850339990.6158447,8.454971046102454e-05
2026-04-24,2026-04-27 00:00:00,0001457258-26-000004,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,Painter Jennifer Hankes,0001457258,"SVP, Chief Legal Officer",false,true,false,P,2500.0,20.031,50077.5,76061.0,D,850339990.6158447,5.8891150072492996e-05
2026-04-24,2026-04-27 00:00:00,0001343118-26-000005,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,Dyer Joseph Wendell,0001343118,,true,false,false,P,2684.0,18.63,50002.92,18841.0,D,850339990.6158447,5.880344397749212e-05
2026-04-24,2026-04-27 00:00:00,0001187618-26-000006,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,HOLMAN JONATHAN S,0001187618,,true,false,false,P,2000.0,18.8697,37739.4,15893.0,D,850339990.6158447,4.438154199083106e-05
2026-04-24,2026-04-27 00:00:00,0002059253-26-000006,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,Iyer Sadasivam,0002059253,President,false,true,false,P,1200.0,19.4194,23303.28,60270.0,D,850339990.6158447,2.7404661967177366e-05
2026-04-24,2026-04-27 00:00:00,0002059253-26-000006,EFOR,Everforth Inc,0000890564,NYSE,7363,Services-Help Supply Services,Services,Iyer Sadasivam,0002059253,President,false,true,false,P,525.0,19.02,9985.5,60795.0,D,850339990.6158447,1.1742950008464457e-05
