txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-28,2026-08-28 00:00:00,0001140361-26-034878,SUJA,"SUJA LIFE, INC.",0001934114,NASDAQ,2080,Beverages,Manufacturing,"PAINE SCHWARTZ FOOD CHAIN FUND V GP, LTD.",0001818714,,false,false,true,P,185000.0,9.33,1726050.0,11096253.0,I,402858886.9474182,0.00428450272768908
2026-08-27,2026-08-28 00:00:00,0001140361-26-034878,SUJA,"SUJA LIFE, INC.",0001934114,NASDAQ,2080,Beverages,Manufacturing,"PAINE SCHWARTZ FOOD CHAIN FUND V GP, LTD.",0001818714,,false,false,true,P,233624.0,9.12,2130650.88,10911253.0,I,402858886.9474182,0.005288826805198655
2026-08-26,2026-08-28 00:00:00,0001140361-26-034878,SUJA,"SUJA LIFE, INC.",0001934114,NASDAQ,2080,Beverages,Manufacturing,"PAINE SCHWARTZ FOOD CHAIN FUND V GP, LTD.",0001818714,,false,false,true,P,233624.0,9.59,2240454.16,10677629.0,I,402858886.9474182,0.005561386958536744
2026-08-25,2026-08-25 00:00:00,0001140361-26-034358,SUJA,"SUJA LIFE, INC.",0001934114,NASDAQ,2080,Beverages,Manufacturing,"PAINE SCHWARTZ FOOD CHAIN FUND V GP, LTD.",0001818714,,false,false,true,P,233624.0,9.21,2151677.04,10444005.0,I,402858886.9474182,0.0053410191749868
2026-08-24,2026-08-25 00:00:00,0001140361-26-034358,SUJA,"SUJA LIFE, INC.",0001934114,NASDAQ,2080,Beverages,Manufacturing,"PAINE SCHWARTZ FOOD CHAIN FUND V GP, LTD.",0001818714,,false,false,true,P,233624.0,8.84,2065236.16,10210381.0,I,402858886.9474182,0.005126450543635538
2026-08-21,2026-08-25 00:00:00,0001140361-26-034358,SUJA,"SUJA LIFE, INC.",0001934114,NASDAQ,2080,Beverages,Manufacturing,"PAINE SCHWARTZ FOOD CHAIN FUND V GP, LTD.",0001818714,,false,false,true,P,189300.0,7.96,1506828.0,9976757.0,I,402858886.9474182,0.0037403369984405324
2026-08-20,2026-08-20 00:00:00,0001140361-26-033922,SUJA,"SUJA LIFE, INC.",0001934114,NASDAQ,2080,Beverages,Manufacturing,"PAINE SCHWARTZ FOOD CHAIN FUND V GP, LTD.",0001818714,,false,false,true,P,189300.0,7.63,1444359.0,9787457.0,I,402858886.9474182,0.0035852727761433744
2026-08-19,2026-08-20 00:00:00,0001140361-26-033922,SUJA,"SUJA LIFE, INC.",0001934114,NASDAQ,2080,Beverages,Manufacturing,"PAINE SCHWARTZ FOOD CHAIN FUND V GP, LTD.",0001818714,,false,false,true,P,189300.0,7.11,1345923.0,9598157.0,I,402858886.9474182,0.0033409291531296716
2026-08-18,2026-08-20 00:00:00,0001140361-26-033922,SUJA,"SUJA LIFE, INC.",0001934114,NASDAQ,2080,Beverages,Manufacturing,"PAINE SCHWARTZ FOOD CHAIN FUND V GP, LTD.",0001818714,,false,false,true,P,189300.0,6.73,1273989.0,9408857.0,I,402858886.9474182,0.0031623703516965806
2026-08-17,2026-08-17 00:00:00,0001140361-26-033407,SUJA,"SUJA LIFE, INC.",0001934114,NASDAQ,2080,Beverages,Manufacturing,"PAINE SCHWARTZ FOOD CHAIN FUND V GP, LTD.",0001818714,,false,false,true,P,175185.0,6.49,1136950.6500000001,9219557.0,I,402858886.9474182,0.002822205707350814
2026-08-14,2026-08-17 00:00:00,0001140361-26-033407,SUJA,"SUJA LIFE, INC.",0001934114,NASDAQ,2080,Beverages,Manufacturing,"PAINE SCHWARTZ FOOD CHAIN FUND V GP, LTD.",0001818714,,false,false,true,P,111929.0,6.43,719703.47,9044372.0,I,402858886.9474182,0.0017864902409213497
2026-08-13,2026-08-17 00:00:00,0001140361-26-033407,SUJA,"SUJA LIFE, INC.",0001934114,NASDAQ,2080,Beverages,Manufacturing,"PAINE SCHWARTZ FOOD CHAIN FUND V GP, LTD.",0001818714,,false,false,true,P,111929.0,6.27,701794.83,8932443.0,I,402858886.9474182,0.0017420363624536335
2026-08-12,2026-08-12 00:00:00,0001140361-26-032563,SUJA,"SUJA LIFE, INC.",0001934114,NASDAQ,2080,Beverages,Manufacturing,"PAINE SCHWARTZ FOOD CHAIN FUND V GP, LTD.",0001818714,,false,false,true,P,111929.0,6.13,686124.77,8820514.0,I,402858886.9474182,0.0017031392187943817
2026-08-11,2026-08-12 00:00:00,0001140361-26-032563,SUJA,"SUJA LIFE, INC.",0001934114,NASDAQ,2080,Beverages,Manufacturing,"PAINE SCHWARTZ FOOD CHAIN FUND V GP, LTD.",0001818714,,false,false,true,P,108440.0,6.09,660399.6,8708585.0,I,402858886.9474182,0.0016392826902840458
2026-08-10,2026-08-12 00:00:00,0001140361-26-032563,SUJA,"SUJA LIFE, INC.",0001934114,NASDAQ,2080,Beverages,Manufacturing,"PAINE SCHWARTZ FOOD CHAIN FUND V GP, LTD.",0001818714,,false,false,true,P,111929.0,6.43,719703.47,8600145.0,I,402858886.9474182,0.0017864902409213497
2026-08-10,2026-08-12 00:00:00,0001628280-26-056192,SUJA,"SUJA LIFE, INC.",0001934114,NASDAQ,2080,Beverages,Manufacturing,Box Michael,0002130671,Chief Operations Officer,false,true,false,P,2500.0,6.4278,16069.500000000002,102250.0,D,402858886.9474182,3.9888657097187035e-05
