txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-28,2026-09-01 00:00:00,0001628280-26-059708,AMRC,"Ameresco, Inc.",0001488139,NYSE,1700,Construction-Special Trade Contractors,Construction,Sakellaris George P,0001496665,Chief Executive Officer,true,true,true,P,3000.0,22.13,66390.0,1013597.0,D,1186029836.093153,5.5976669371735436e-05
2026-08-27,2026-08-27 00:00:00,0001628280-26-059314,AMRC,"Ameresco, Inc.",0001488139,NYSE,1700,Construction-Special Trade Contractors,Construction,Sakellaris George P,0001496665,Chief Executive Officer,true,true,true,P,4000.0,22.84,91360.0,1010597.0,D,1186029836.093153,7.7030102632953e-05
2026-08-26,2026-08-27 00:00:00,0001628280-26-059314,AMRC,"Ameresco, Inc.",0001488139,NYSE,1700,Construction-Special Trade Contractors,Construction,Sakellaris George P,0001496665,Chief Executive Officer,true,true,true,P,1000.0,21.92,21920.0,1006597.0,D,1186029836.093153,1.848182847760869e-05
2026-08-25,2026-08-26 00:00:00,0001628280-26-059096,AMRC,"Ameresco, Inc.",0001488139,NYSE,1700,Construction-Special Trade Contractors,Construction,Sakellaris George P,0001496665,Chief Executive Officer,true,true,true,P,4062.0,22.03,89485.86,1005597.0,D,1186029836.093153,7.544992316109965e-05
2026-08-25,2026-08-26 00:00:00,0001628280-26-059096,AMRC,"Ameresco, Inc.",0001488139,NYSE,1700,Construction-Special Trade Contractors,Construction,Sakellaris George P,0001496665,Chief Executive Officer,true,true,true,P,938.0,21.6,20260.800000000003,1001535.0,D,1186029836.093153,1.7082875475325464e-05
2026-08-24,2026-08-26 00:00:00,0001628280-26-059097,AMRC,"Ameresco, Inc.",0001488139,NYSE,1700,Construction-Special Trade Contractors,Construction,Sutton Joseph W.,0001496494,,true,false,false,P,9700.0,20.87,202439.0,80246.0,D,1186029836.093153,0.0001706862625537694
2026-08-24,2026-08-26 00:00:00,0001628280-26-059096,AMRC,"Ameresco, Inc.",0001488139,NYSE,1700,Construction-Special Trade Contractors,Construction,Sakellaris George P,0001496665,Chief Executive Officer,true,true,true,P,5000.0,20.91,104550.0,1000597.0,D,1186029836.093153,8.815123938567466e-05
2026-08-24,2026-08-26 00:00:00,0001628280-26-059098,AMRC,"Ameresco, Inc.",0001488139,NYSE,1700,Construction-Special Trade Contractors,Construction,Miller Jennifer L,0001633385,,true,false,false,P,2000.0,20.96,41920.0,34546.0,D,1186029836.093153,3.5344810665207853e-05
2026-08-21,2026-08-25 00:00:00,0001628280-26-058967,AMRC,"Ameresco, Inc.",0001488139,NYSE,1700,Construction-Special Trade Contractors,Construction,Cox Brian C,0002148272,,true,false,false,P,4625.0,21.64,100085.0,44325.0,D,1186029836.093153,8.438657861229314e-05
2026-08-11,2026-08-11 00:00:00,0001628280-26-055891,AMRC,"Ameresco, Inc.",0001488139,NYSE,1700,Construction-Special Trade Contractors,Construction,Sakellaris George P,0001496665,Chief Executive Officer,true,true,true,P,1000.0,25.9,25900.0,995597.0,D,1186029836.093153,2.1837561932940922e-05
2026-08-10,2026-08-11 00:00:00,0001628280-26-055890,AMRC,"Ameresco, Inc.",0001488139,NYSE,1700,Construction-Special Trade Contractors,Construction,Cox Brian C,0002148272,,true,false,false,P,39700.0,25.07,995279.0,39700.0,D,1186029836.093153,0.0008391686024345756
2026-08-10,2026-08-11 00:00:00,0001628280-26-055891,AMRC,"Ameresco, Inc.",0001488139,NYSE,1700,Construction-Special Trade Contractors,Construction,Sakellaris George P,0001496665,Chief Executive Officer,true,true,true,P,1000.0,25.27,25270.0,994597.0,D,1186029836.093153,2.1306377994031548e-05
2026-08-07,2026-08-11 00:00:00,0001628280-26-055891,AMRC,"Ameresco, Inc.",0001488139,NYSE,1700,Construction-Special Trade Contractors,Construction,Sakellaris George P,0001496665,Chief Executive Officer,true,true,true,P,5000.0,25.95,129750.0,993597.0,D,1186029836.093153,0.00010939859694204961
