txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-27,2026-08-31 00:00:00,0001193125-26-377239,UTI,UNIVERSAL TECHNICAL INSTITUTE INC,0001261654,NYSE,8200,Services-Educational Services,Services,DEVINCENZI ROBERT THOMAS,0001226186,,true,false,false,P,1000.0,21.8,21800.0,151330.0,D,1148735587.3671627,1.897738717224246e-05
2026-08-25,2026-08-27 00:00:00,0001193125-26-371793,UTI,UNIVERSAL TECHNICAL INSTITUTE INC,0001261654,NYSE,8200,Services-Educational Services,Services,DEVINCENZI ROBERT THOMAS,0001226186,,true,false,false,P,1000.0,21.765,21765.0,150330.0,D,1148735587.3671627,1.8946918890085188e-05
2026-08-12,2026-08-14 00:00:00,0001193125-26-352890,UTI,UNIVERSAL TECHNICAL INSTITUTE INC,0001261654,NYSE,8200,Services-Educational Services,Services,DEVINCENZI ROBERT THOMAS,0001226186,,true,false,false,P,1000.0,25.945,25945.0,149330.0,D,1148735587.3671627,2.2585702302010578e-05
2026-08-10,2026-08-12 00:00:00,0001193125-26-347428,UTI,UNIVERSAL TECHNICAL INSTITUTE INC,0001261654,NYSE,8200,Services-Educational Services,Services,DEVINCENZI ROBERT THOMAS,0001226186,,true,false,false,P,8000.0,28.2095,225676.0,148330.0,D,1148735587.3671627,0.0001964560012606876
2025-12-05,2025-12-05 00:00:00,0001193125-25-310079,UTI,UNIVERSAL TECHNICAL INSTITUTE INC,0001261654,NYSE,8200,Services-Educational Services,Services,"Coliseum Capital Management, LLC",0001409751,,true,false,false,P,191830.0,25.38,4868645.399999999,3971440.0,I,1148735587.3671627,0.0042382646220255615
2025-12-03,2025-12-05 00:00:00,0001193125-25-310079,UTI,UNIVERSAL TECHNICAL INSTITUTE INC,0001261654,NYSE,8200,Services-Educational Services,Services,"Coliseum Capital Management, LLC",0001409751,,true,false,false,P,211563.0,25.01,5291190.63,3779610.0,I,1148735587.3671627,0.00460609968750695
2025-12-03,2025-12-05 00:00:00,0001193125-25-310079,UTI,UNIVERSAL TECHNICAL INSTITUTE INC,0001261654,NYSE,8200,Services-Educational Services,Services,"Coliseum Capital Management, LLC",0001409751,,true,false,false,P,143673.0,24.52,3522861.96,3568047.0,I,1148735587.3671627,0.003066730062811235
2025-12-02,2025-12-03 00:00:00,0001193125-25-306717,UTI,UNIVERSAL TECHNICAL INSTITUTE INC,0001261654,NYSE,8200,Services-Educational Services,Services,"Coliseum Capital Management, LLC",0001409751,,true,false,false,P,467020.0,24.4,11395288.0,3424374.0,I,1148735587.3671627,0.009919852858495799
2025-12-01,2025-12-03 00:00:00,0001193125-25-306717,UTI,UNIVERSAL TECHNICAL INSTITUTE INC,0001261654,NYSE,8200,Services-Educational Services,Services,"Coliseum Capital Management, LLC",0001409751,,true,false,false,P,171430.0,23.66,4056033.8,2887697.0,I,1148735587.3671627,0.0035308680645092586
2025-12-01,2025-12-03 00:00:00,0001193125-25-306717,UTI,UNIVERSAL TECHNICAL INSTITUTE INC,0001261654,NYSE,8200,Services-Educational Services,Services,"Coliseum Capital Management, LLC",0001409751,,true,false,false,P,69657.0,24.11,1679430.27,2957354.0,I,1148735587.3671627,0.001461981580852004
