txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-14,2026-09-15 00:00:00,0001493152-26-042729,BRID,BRIDGFORD FOODS CORP,0000014177,NASDAQ,2013,Sausages & Other Prepared Meat Products,Manufacturing,Bridgford Allan Jr.,0001534107,,false,false,false,P,13.0,5.95,77.35000000000001,48479.0,D,53371773.19876099,1.4492679437863546e-06
2026-09-09,2026-09-11 00:00:00,0001493152-26-042340,BRID,BRIDGFORD FOODS CORP,0000014177,NASDAQ,2013,Sausages & Other Prepared Meat Products,Manufacturing,Bridgford Allan Jr.,0001534107,,false,false,false,P,466.0,5.83,2716.78,48466.0,D,53371773.19876099,5.0902936836714834e-05
2026-09-02,2026-09-03 00:00:00,0001493152-26-041332,BRID,BRIDGFORD FOODS CORP,0000014177,NASDAQ,2013,Sausages & Other Prepared Meat Products,Manufacturing,Bridgford Allan Jr.,0001534107,,false,false,false,P,914.0,6.15,5621.1,48000.0,D,53371773.19876099,0.0001053197160803811
2026-09-01,2026-09-03 00:00:00,0001493152-26-041332,BRID,BRIDGFORD FOODS CORP,0000014177,NASDAQ,2013,Sausages & Other Prepared Meat Products,Manufacturing,Bridgford Allan Jr.,0001534107,,false,false,false,P,86.0,6.01,516.86,47086.0,D,53371773.19876099,9.684145176799162e-06
2026-08-28,2026-08-31 00:00:00,0001493152-26-040905,BRID,BRIDGFORD FOODS CORP,0000014177,NASDAQ,2013,Sausages & Other Prepared Meat Products,Manufacturing,Bridgford Baron,0001299715,,false,false,false,P,473.0,6.15,2908.9500000000003,4073.0,D,53371773.19876099,5.450352921884055e-05
2026-08-26,2026-08-31 00:00:00,0001493152-26-040906,BRID,BRIDGFORD FOODS CORP,0000014177,NASDAQ,2013,Sausages & Other Prepared Meat Products,Manufacturing,Bridgford Allan Jr.,0001534107,,false,false,false,P,1000.0,6.2,6200.0,47000.0,D,53371773.19876099,0.00011616627345152421
2026-06-17,2026-06-17 00:00:00,0001493152-26-029125,BRID,BRIDGFORD FOODS CORP,0000014177,NASDAQ,2013,Sausages & Other Prepared Meat Products,Manufacturing,Bridgford Allan Jr.,0001534107,,false,false,false,P,687.0,6.95,4774.650000000001,46000.0,D,53371773.19876099,8.946020927989035e-05
2026-06-16,2026-06-17 00:00:00,0001493152-26-029125,BRID,BRIDGFORD FOODS CORP,0000014177,NASDAQ,2013,Sausages & Other Prepared Meat Products,Manufacturing,Bridgford Allan Jr.,0001534107,,false,false,false,P,67.0,6.95,465.65000000000003,45313.0,D,53371773.19876099,8.724649231081008e-06
2026-06-15,2026-06-15 00:00:00,0001493152-26-028682,BRID,BRIDGFORD FOODS CORP,0000014177,NASDAQ,2013,Sausages & Other Prepared Meat Products,Manufacturing,Matthews-Morales Cindy,0001993896,"CFO, Secretary",false,true,false,P,500.0,6.86,3430.0,500.0,D,53371773.19876099,6.426618031269808e-05
2026-06-15,2026-06-16 00:00:00,0001493152-26-028835,BRID,BRIDGFORD FOODS CORP,0000014177,NASDAQ,2013,Sausages & Other Prepared Meat Products,Manufacturing,Bridgford Richard Eugene,0001638258,,false,false,false,P,150.0,6.95,1042.5,3050.0,D,53371773.19876099,1.9532796786002258e-05
2026-06-12,2026-06-16 00:00:00,0001493152-26-028837,BRID,BRIDGFORD FOODS CORP,0000014177,NASDAQ,2013,Sausages & Other Prepared Meat Products,Manufacturing,Bridgford Allan Jr.,0001534107,,false,false,false,P,70.0,6.99,489.3,45246.0,D,53371773.19876099,9.167767354811419e-06
