txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-06-10,2025-06-10 00:00:00,0000837465-25-000068,CALY,Callaway Golf Co,0000837465,NYSE,3949,"Sporting & Athletic Goods, Nec",Manufacturing,Ogunlesi Adebayo O.,0001481450,,true,false,false,P,38782.0,7.5883,294289.4506,845284.0,I,2738739903.259181,0.00010745432607520958
2025-06-09,2025-06-10 00:00:00,0000837465-25-000068,CALY,Callaway Golf Co,0000837465,NYSE,3949,"Sporting & Athletic Goods, Nec",Manufacturing,Ogunlesi Adebayo O.,0001481450,,true,false,false,P,38070.0,7.0082,266802.174,806502.0,I,2738739903.259181,9.74178576368269e-05
2025-06-06,2025-06-10 00:00:00,0000837465-25-000068,CALY,Callaway Golf Co,0000837465,NYSE,3949,"Sporting & Athletic Goods, Nec",Manufacturing,Ogunlesi Adebayo O.,0001481450,,true,false,false,P,384731.0,6.4848,2494903.5888,768432.0,I,2738739903.259181,0.0009109676993536303
2025-06-05,2025-06-06 00:00:00,0000837465-25-000067,CALY,Callaway Golf Co,0000837465,NYSE,3949,"Sporting & Athletic Goods, Nec",Manufacturing,Ogunlesi Adebayo O.,0001481450,,true,false,false,P,322816.0,6.4648,2086940.8768000002,383701.0,I,2738739903.259181,0.0007620076935076891
2025-06-04,2025-06-06 00:00:00,0000837465-25-000067,CALY,Callaway Golf Co,0000837465,NYSE,3949,"Sporting & Athletic Goods, Nec",Manufacturing,Ogunlesi Adebayo O.,0001481450,,true,false,false,P,60885.0,6.473,394108.605,60885.0,I,2738739903.259181,0.0001439014360330454
2025-05-19,2025-05-19 00:00:00,0000837465-25-000053,CALY,Callaway Golf Co,0000837465,NYSE,3949,"Sporting & Athletic Goods, Nec",Manufacturing,Hickey Glenn F.,0001764478,"EVP & Pres., Callaway Golf",false,true,false,P,10000.0,6.86,68600.0,10000.0,I,2738739903.259181,2.5048015665293364e-05
2025-05-14,2025-05-15 00:00:00,0000837465-25-000050,CALY,Callaway Golf Co,0000837465,NYSE,3949,"Sporting & Athletic Goods, Nec",Manufacturing,FLEISCHER RUSSELL L,0001108424,,true,false,false,P,23900.0,6.41,153199.0,110087.0,D,2738739903.259181,5.5937768978240205e-05
2025-05-14,2025-05-15 00:00:00,0000837465-25-000051,CALY,Callaway Golf Co,0000837465,NYSE,3949,"Sporting & Athletic Goods, Nec",Manufacturing,BREWER OLIVER G III,0001072918,President and CEO,true,true,false,P,16890.0,6.4299,108601.011,1006187.0,I,2738739903.259181,3.965364176085564e-05
2025-05-14,2025-05-15 00:00:00,0000837465-25-000050,CALY,Callaway Golf Co,0000837465,NYSE,3949,"Sporting & Athletic Goods, Nec",Manufacturing,FLEISCHER RUSSELL L,0001108424,,true,false,false,P,6100.0,6.42,39162.0,116187.0,D,2738739903.259181,1.4299276814638756e-05
2025-05-14,2025-05-15 00:00:00,0000837465-25-000051,CALY,Callaway Golf Co,0000837465,NYSE,3949,"Sporting & Athletic Goods, Nec",Manufacturing,BREWER OLIVER G III,0001072918,President and CEO,true,true,false,P,3110.0,6.2498,19436.877999999997,1009297.0,I,2738739903.259181,7.097014936273992e-06
