txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-10-23,2025-12-01 00:00:00,0000793074-25-000079,WERN,WERNER ENTERPRISES INC,0000793074,NASDAQ,4213,Trucking (No Local),"Transportation, Communications, Electric, Gas",LEATHERS DEREK J,0001233289,CEO & Chairman,true,true,false,P,86.963,28.8283,2506.9954528999997,257320.12,D,2308520835.109665,1.0859748003014693e-06
2025-10-23,2025-12-01 00:00:00,0000793074-25-000082,WERN,WERNER ENTERPRISES INC,0000793074,NASDAQ,4213,Trucking (No Local),"Transportation, Communications, Electric, Gas",SCHELBLE JIM S,0001270473,Exec VP & Chief Admin Officer,false,true,false,P,67.043,28.8283,1932.7357169000002,72671.395,D,2308520835.109665,8.372182254132381e-07
2025-10-23,2025-12-01 00:00:00,0000793074-25-000078,WERN,WERNER ENTERPRISES INC,0000793074,NASDAQ,4213,Trucking (No Local),"Transportation, Communications, Electric, Gas",MEISGEIER NATHAN J,0001729830,President and CLO,false,true,false,P,50.401,28.8283,1452.9751483,72665.827,D,2308520835.109665,6.293965929187628e-07
2025-10-23,2025-12-01 00:00:00,0000793074-25-000081,WERN,WERNER ENTERPRISES INC,0000793074,NASDAQ,4213,Trucking (No Local),"Transportation, Communications, Electric, Gas",DOWNING ERIC J,0001959602,Exec VP and COO,false,true,false,P,32.033,28.8283,923.4569339,52987.244,D,2308520835.109665,4.000210523792529e-07
2025-10-23,2025-12-01 00:00:00,0000793074-25-000083,WERN,WERNER ENTERPRISES INC,0000793074,NASDAQ,4213,Trucking (No Local),"Transportation, Communications, Electric, Gas",CALLAHAN CRAIG T,0001454091,Exec VP-Chief Commercial Offcr,false,true,false,P,26.01,28.8283,749.824083,65079.822,D,2308520835.109665,3.248071542591817e-07
2025-10-23,2025-12-01 00:00:00,0000793074-25-000077,WERN,WERNER ENTERPRISES INC,0000793074,NASDAQ,4213,Trucking (No Local),"Transportation, Communications, Electric, Gas",Mahon Daragh P,0001814009,Executive Vice President & CIO,false,true,false,P,13.805,28.8283,397.9746815,36317.537,D,2308520835.109665,1.7239380102068449e-07
2025-10-23,2025-12-01 00:00:00,0000793074-25-000080,WERN,WERNER ENTERPRISES INC,0000793074,NASDAQ,4213,Trucking (No Local),"Transportation, Communications, Electric, Gas",JOHNSON JAMES LYNN,0001236427,Exec VP - Chief Acctg Officer,false,true,false,P,2.945,28.8283,84.89934349999999,100644.437,D,2308520835.109665,3.677651169908843e-08
2025-10-03,2025-12-01 00:00:00,0000793074-25-000083,WERN,WERNER ENTERPRISES INC,0000793074,NASDAQ,4213,Trucking (No Local),"Transportation, Communications, Electric, Gas",CALLAHAN CRAIG T,0001454091,Exec VP-Chief Commercial Offcr,false,true,false,P,227.348,26.3,5979.2524,65053.812,D,2308520835.109665,2.5900794608665334e-06
2025-10-03,2025-12-01 00:00:00,0000793074-25-000082,WERN,WERNER ENTERPRISES INC,0000793074,NASDAQ,4213,Trucking (No Local),"Transportation, Communications, Electric, Gas",SCHELBLE JIM S,0001270473,Exec VP & Chief Admin Officer,false,true,false,P,227.348,26.3,5979.2524,72604.352,D,2308520835.109665,2.5900794608665334e-06
2025-10-03,2025-12-01 00:00:00,0000793074-25-000081,WERN,WERNER ENTERPRISES INC,0000793074,NASDAQ,4213,Trucking (No Local),"Transportation, Communications, Electric, Gas",DOWNING ERIC J,0001959602,Exec VP and COO,false,true,false,P,227.348,26.3,5979.2524,52955.211,D,2308520835.109665,2.5900794608665334e-06
2025-10-03,2025-12-01 00:00:00,0000793074-25-000080,WERN,WERNER ENTERPRISES INC,0000793074,NASDAQ,4213,Trucking (No Local),"Transportation, Communications, Electric, Gas",JOHNSON JAMES LYNN,0001236427,Exec VP - Chief Acctg Officer,false,true,false,P,227.348,26.3,5979.2524,100641.492,D,2308520835.109665,2.5900794608665334e-06
2025-10-03,2025-12-01 00:00:00,0000793074-25-000078,WERN,WERNER ENTERPRISES INC,0000793074,NASDAQ,4213,Trucking (No Local),"Transportation, Communications, Electric, Gas",MEISGEIER NATHAN J,0001729830,President and CLO,false,true,false,P,227.348,26.3,5979.2524,72615.426,D,2308520835.109665,2.5900794608665334e-06
2025-10-03,2025-12-01 00:00:00,0000793074-25-000077,WERN,WERNER ENTERPRISES INC,0000793074,NASDAQ,4213,Trucking (No Local),"Transportation, Communications, Electric, Gas",Mahon Daragh P,0001814009,Executive Vice President & CIO,false,true,false,P,227.348,26.3,5979.2524,36303.732,D,2308520835.109665,2.5900794608665334e-06
2025-10-03,2025-12-01 00:00:00,0000793074-25-000079,WERN,WERNER ENTERPRISES INC,0000793074,NASDAQ,4213,Trucking (No Local),"Transportation, Communications, Electric, Gas",LEATHERS DEREK J,0001233289,CEO & Chairman,true,true,false,P,222.535,26.3,5852.6705,257233.157,D,2308520835.109665,2.5352469906220156e-06
