txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-10,2026-03-10 00:00:00,0001581318-26-000009,VAC,MARRIOTT VACATIONS WORLDWIDE Corp,0001524358,NYSE,6531,Real Estate Agents & Managers (For Others),"Finance, Insurance, Real Estate",Flaskey Michael,0001581318,See Remarks,false,true,false,P,11848.0,67.39,798436.72,14662.0,I,2563022771.9939575,0.0003115215084019091
2026-03-10,2026-03-10 00:00:00,0001581318-26-000009,VAC,MARRIOTT VACATIONS WORLDWIDE Corp,0001524358,NYSE,6531,Real Estate Agents & Managers (For Others),"Finance, Insurance, Real Estate",Flaskey Michael,0001581318,See Remarks,false,true,false,P,2814.0,66.64,187524.96,2814.0,I,2563022771.9939575,7.316554579579915e-05
2026-03-10,2026-03-10 00:00:00,0001581318-26-000009,VAC,MARRIOTT VACATIONS WORLDWIDE Corp,0001524358,NYSE,6531,Real Estate Agents & Managers (For Others),"Finance, Insurance, Real Estate",Flaskey Michael,0001581318,See Remarks,false,true,false,P,200.0,68.37,13674.0,14862.0,I,2563022771.9939575,5.335106714390222e-06
2026-01-07,2026-01-08 00:00:00,0002099311-26-000002,VAC,MARRIOTT VACATIONS WORLDWIDE Corp,0001524358,NYSE,6531,Real Estate Agents & Managers (For Others),"Finance, Insurance, Real Estate",Fitzgerald John D.,0002099311,See Remarks,false,true,false,P,52.33,61.15,3199.9795,16379.85,D,2563022771.9939575,1.2485177794618299e-06
2026-01-07,2026-01-08 00:00:00,0002099311-26-000002,VAC,MARRIOTT VACATIONS WORLDWIDE Corp,0001524358,NYSE,6531,Real Estate Agents & Managers (For Others),"Finance, Insurance, Real Estate",Fitzgerald John D.,0002099311,See Remarks,false,true,false,P,13.08,61.15,799.842,1013.08,I,2563022771.9939575,3.120697984972432e-07
2026-01-06,2026-01-08 00:00:00,0002099311-26-000002,VAC,MARRIOTT VACATIONS WORLDWIDE Corp,0001524358,NYSE,6531,Real Estate Agents & Managers (For Others),"Finance, Insurance, Real Estate",Fitzgerald John D.,0002099311,See Remarks,false,true,false,P,43.52,61.06,2657.3312,16327.52,D,2563022771.9939575,1.0367957823225556e-06
2025-11-25,2025-11-25 00:00:00,0001894030-25-000008,VAC,MARRIOTT VACATIONS WORLDWIDE Corp,0001524358,NYSE,6531,Real Estate Agents & Managers (For Others),"Finance, Insurance, Real Estate",Gray Jonice M,0001894030,,true,false,false,P,1100.0,54.47,59917.0,13205.0,D,2563022771.9939575,2.3377474696951797e-05
2025-11-21,2025-11-24 00:00:00,0001300572-25-000007,VAC,MARRIOTT VACATIONS WORLDWIDE Corp,0001524358,NYSE,6531,Real Estate Agents & Managers (For Others),"Finance, Insurance, Real Estate",Morgan Dianna,0001300572,,true,false,false,P,500.0,51.22,25610.0,23094.0,D,2563022771.9939575,9.992107865696472e-06
2025-11-20,2025-11-21 00:00:00,0001238126-25-000006,VAC,MARRIOTT VACATIONS WORLDWIDE Corp,0001524358,NYSE,6531,Real Estate Agents & Managers (For Others),"Finance, Insurance, Real Estate",MCCARTEN WILLIAM W,0001238126,,true,false,false,P,5000.0,48.08,240400.0,13708.0,D,2563022771.9939575,9.379549905948583e-05
2025-11-19,2025-11-19 00:00:00,0000921895-25-003162,VAC,MARRIOTT VACATIONS WORLDWIDE Corp,0001524358,NYSE,6531,Real Estate Agents & Managers (For Others),"Finance, Insurance, Real Estate",Asmar Christian,0001787532,,true,false,true,P,84000.0,47.44,3984960.0,4130340.0,I,2563022771.9939575,0.0015547891511318163
