txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-06-13,2025-06-16 00:00:00,0001127602-25-017606,GROV,"Grove Collaborative Holdings, Inc.",0001841761,NYSE,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Glazer David A.,0001823940,,true,false,false,P,7205.0,1.1485,8274.942500000001,156118.0,D,45805826.772692084,0.00018065261742930154
2025-06-13,2025-06-16 00:00:00,0001127602-25-017582,GROV,"Grove Collaborative Holdings, Inc.",0001841761,NYSE,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Yurcisin Jeffrey Michael,0001989175,President & CEO,true,true,false,P,4344.0,1.1468,4981.6992,371920.0,D,45805826.772692084,0.00010875688860985528
2025-06-12,2025-06-13 00:00:00,0001127602-25-017527,GROV,"Grove Collaborative Holdings, Inc.",0001841761,NYSE,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Yurcisin Jeffrey Michael,0001989175,President & CEO,true,true,false,P,1569.0,1.12,1757.2800000000002,367576.0,D,45805826.772692084,3.8363678243826226e-05
2025-06-10,2025-06-11 00:00:00,0001127602-25-017272,GROV,"Grove Collaborative Holdings, Inc.",0001841761,NYSE,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Yurcisin Jeffrey Michael,0001989175,President & CEO,true,true,false,P,4031.0,1.279,5155.648999999999,366007.0,D,45805826.772692084,0.00011255443604553878
2025-06-09,2025-06-10 00:00:00,0001127602-25-017210,GROV,"Grove Collaborative Holdings, Inc.",0001841761,NYSE,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Yurcisin Jeffrey Michael,0001989175,President & CEO,true,true,false,P,8900.0,1.3088,11648.32,361976.0,D,45805826.772692084,0.00025429777870409145
2025-06-06,2025-06-10 00:00:00,0001127602-25-017207,GROV,"Grove Collaborative Holdings, Inc.",0001841761,NYSE,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Yurcisin Jeffrey Michael,0001989175,President & CEO,true,true,false,P,1100.0,1.308,1438.8,353076.0,D,45805826.772692084,3.141085100679298e-05
2025-06-02,2025-06-03 00:00:00,0001127602-25-016646,GROV,"Grove Collaborative Holdings, Inc.",0001841761,NYSE,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Yurcisin Jeffrey Michael,0001989175,President & CEO,true,true,false,P,4669.0,1.3399,6255.993100000001,351976.0,D,45805826.772692084,0.0001365763602749687
2025-05-29,2025-05-30 00:00:00,0001127602-25-016006,GROV,"Grove Collaborative Holdings, Inc.",0001841761,NYSE,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Yurcisin Jeffrey Michael,0001989175,President & CEO,true,true,false,P,10000.0,1.3335,13334.999999999998,347307.0,D,45805826.772692084,0.0002911201683177539
2025-05-28,2025-05-29 00:00:00,0001127602-25-015883,GROV,"Grove Collaborative Holdings, Inc.",0001841761,NYSE,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Yurcisin Jeffrey Michael,0001989175,President & CEO,true,true,false,P,10000.0,1.3478,13478.000000000002,337307.0,D,45805826.772692084,0.0002942420418887655
2025-05-27,2025-05-28 00:00:00,0001127602-25-015775,GROV,"Grove Collaborative Holdings, Inc.",0001841761,NYSE,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Yurcisin Jeffrey Michael,0001989175,President & CEO,true,true,false,P,10000.0,1.3604,13604.0,327307.0,D,45805826.772692084,0.00029699278363664976
2025-05-23,2025-05-27 00:00:00,0001127602-25-015616,GROV,"Grove Collaborative Holdings, Inc.",0001841761,NYSE,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Yurcisin Jeffrey Michael,0001989175,President & CEO,true,true,false,P,15000.0,1.2551,18826.5,317307.0,D,45805826.772692084,0.0004110066628297109
2025-05-22,2025-05-23 00:00:00,0001127602-25-015569,GROV,"Grove Collaborative Holdings, Inc.",0001841761,NYSE,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Yurcisin Jeffrey Michael,0001989175,President & CEO,true,true,false,P,8500.0,1.1831,10056.35,302307.0,D,45805826.772692084,0.000219543029970922
2025-05-21,2025-05-21 00:00:00,0001127602-25-015262,GROV,"Grove Collaborative Holdings, Inc.",0001841761,NYSE,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,REPLOGLE JOHN B,0001503546,,true,false,false,P,42735.0,1.1799,50423.0265,497859.0,D,45805826.772692084,0.0011007993972081416
2025-05-21,2025-05-23 00:00:00,0001127602-25-015565,GROV,"Grove Collaborative Holdings, Inc.",0001841761,NYSE,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Landesberg Stuart,0001930721,,true,false,false,P,15000.0,1.1784,17676.0,1391056.0,D,45805826.772692084,0.00038588977091748175
2025-05-21,2025-05-23 00:00:00,0001127602-25-015567,GROV,"Grove Collaborative Holdings, Inc.",0001841761,NYSE,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Yurcisin Jeffrey Michael,0001989175,President & CEO,true,true,false,P,8900.0,1.1865,10559.85,293807.0,D,45805826.772692084,0.0002305350813206025
2025-05-20,2025-05-21 00:00:00,0001127602-25-015260,GROV,"Grove Collaborative Holdings, Inc.",0001841761,NYSE,5961,Retail-Catalog & Mail-Order Houses,Retail Trade,Yurcisin Jeffrey Michael,0001989175,President & CEO,true,true,false,P,8795.0,1.1277,9918.1215,284907.0,D,45805826.772692084,0.0002165253243701488
