txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-10,2026-09-14 00:00:00,0001628280-26-061831,SDHC,Smith Douglas Homes Corp.,0001982518,NYSE,1531,Operative Builders,Construction,Bradbury Thomas L,0001992568,,true,false,true,P,19360.0,10.3059,199522.224,78278.0,D,86694359.07970428,0.0023014441322135506
2026-09-02,2026-09-03 00:00:00,0001628280-26-060445,SDHC,Smith Douglas Homes Corp.,0001982518,NYSE,1531,Operative Builders,Construction,Bennett Gregory S,0001992482,See Remarks,true,true,false,P,1000.0,11.5,11500.0,219526.0,D,86694359.07970428,0.00013264992234877972
2026-09-01,2026-09-03 00:00:00,0001628280-26-060445,SDHC,Smith Douglas Homes Corp.,0001982518,NYSE,1531,Operative Builders,Construction,Bennett Gregory S,0001992482,See Remarks,true,true,false,P,1000.0,12.1966,12196.6,218526.0,D,86694359.07970428,0.00014068504721035884
2026-08-25,2026-08-26 00:00:00,0001628280-26-059079,SDHC,Smith Douglas Homes Corp.,0001982518,NYSE,1531,Operative Builders,Construction,Devendorf Russell,0001451292,See Remarks,false,true,false,P,1000.0,12.34,12340.0,317461.0,D,86694359.07970428,0.00014233913406816885
2026-08-20,2026-08-24 00:00:00,0001628280-26-058630,SDHC,Smith Douglas Homes Corp.,0001982518,NYSE,1531,Operative Builders,Construction,Devendorf Russell,0001451292,See Remarks,false,true,false,P,1000.0,12.68,12680.0,316461.0,D,86694359.07970428,0.00014626095785935016
2026-05-20,2026-05-22 00:00:00,0001628280-26-037607,SDHC,Smith Douglas Homes Corp.,0001982518,NYSE,1531,Operative Builders,Construction,Devendorf Russell,0001451292,See Remarks,false,true,false,P,2000.0,10.88,21760.0,315461.0,D,86694359.07970428,0.0002509967226356041
2026-03-13,2026-03-17 00:00:00,0001628280-26-018730,SDHC,Smith Douglas Homes Corp.,0001982518,NYSE,1531,Operative Builders,Construction,Bradbury Thomas L,0001992568,,true,false,true,P,22618.0,11.3578,256890.7204,58918.0,D,86694359.07970428,0.0029631768794071375
2026-03-13,2026-03-17 00:00:00,0001628280-26-018729,SDHC,Smith Douglas Homes Corp.,0001982518,NYSE,1531,Operative Builders,Construction,Perdue George Ervin III,0001935739,,true,false,false,P,20300.0,12.2666,249011.98,60684.0,D,86694359.07970428,0.0028722973748622513
2026-03-13,2026-03-17 00:00:00,0001628280-26-018732,SDHC,Smith Douglas Homes Corp.,0001982518,NYSE,1531,Operative Builders,Construction,Devendorf Russell,0001451292,See Remarks,false,true,false,P,1000.0,11.56,11560.0,286928.0,D,86694359.07970428,0.00013334200890016467
2026-03-13,2026-03-17 00:00:00,0001628280-26-018735,SDHC,Smith Douglas Homes Corp.,0001982518,NYSE,1531,Operative Builders,Construction,Wedewer Neil B,0001992365,,true,false,false,P,700.0,11.38,7966.000000000001,14748.0,D,86694359.07970428,9.18860244722069e-05
