txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-02-24,2026-02-24 00:00:00,0001772447-26-000016,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,15773.0,7.144,112682.312,2039905.0,D,98190841.47169304,0.0011475847473257945
2026-02-23,2026-02-24 00:00:00,0001772447-26-000016,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,7016.0,7.0373,49373.6968,2024132.0,D,98190841.47169304,0.0005028340327874031
2026-02-19,2026-02-20 00:00:00,0001772447-26-000015,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,8748.0,7.07,61848.36,2017116.0,D,98190841.47169304,0.000629879111666743
2026-02-18,2026-02-20 00:00:00,0001772447-26-000015,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,105880.0,7.14,755983.2,2008368.0,D,98190841.47169304,0.007699121309780594
2026-02-17,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,31000.0,7.41,229710.0,1902488.0,D,98190841.47169304,0.0023394238867605792
2026-02-13,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,14612.0,7.64,111635.68,1871488.0,D,98190841.47169304,0.001136925586203301
2026-02-12,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,78696.0,7.03,553232.88,1856876.0,D,98190841.47169304,0.005634261522847717
2026-02-11,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,100610.0,7.03,707288.3,1778180.0,D,98190841.47169304,0.007203200312769504
2026-02-10,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,10616.0,7.29,77390.64,1677570.0,D,98190841.47169304,0.000788165564527834
2026-02-09,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,4167.0,6.95,28960.65,1666954.0,D,98190841.47169304,0.0002949424769758076
2026-02-06,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,105097.0,6.84,718863.48,1641954.0,D,98190841.47169304,0.00732108483057697
2026-02-05,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,17000.0,7.04,119680.0,1536857.0,D,98190841.47169304,0.001218850945833904
2026-02-04,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,10000.0,7.23,72300.0,1519857.0,D,98190841.47169304,0.0007363212181132292
2026-02-03,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,187702.0,6.8,1276373.5999999999,1509857.0,D,98190841.47169304,0.012998906831529287
2026-02-02,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,18985.0,7.07,134223.95,1322155.0,D,98190841.47169304,0.0013669701571779969
