txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-02-24,2026-02-24 00:00:00,0001772447-26-000016,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,15773.0,7.144,112682.312,2039905.0,D,103372417.50707674,0.0010900616887699846
2026-02-23,2026-02-24 00:00:00,0001772447-26-000016,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,7016.0,7.0373,49373.6968,2024132.0,D,103372417.50707674,0.000477629313415447
2026-02-19,2026-02-20 00:00:00,0001772447-26-000015,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,8748.0,7.07,61848.36,2017116.0,D,103372417.50707674,0.0005983062164118
2026-02-18,2026-02-20 00:00:00,0001772447-26-000015,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,105880.0,7.14,755983.2,2008368.0,D,103372417.50707674,0.007313200351034127
2026-02-17,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,31000.0,7.41,229710.0,1902488.0,D,103372417.50707674,0.002222159503856765
2026-02-13,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,14612.0,7.64,111635.68,1871488.0,D,103372417.50707674,0.0010799368215642007
2026-02-12,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,78696.0,7.03,553232.88,1856876.0,D,103372417.50707674,0.005351842332236512
2026-02-11,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,100610.0,7.03,707288.3,1778180.0,D,103372417.50707674,0.006842137555229179
2026-02-10,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,10616.0,7.29,77390.64,1677570.0,D,103372417.50707674,0.0007486585093620543
2026-02-09,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,4167.0,6.95,28960.65,1666954.0,D,103372417.50707674,0.00028015838942740593
2026-02-06,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,105097.0,6.84,718863.48,1641954.0,D,103372417.50707674,0.006954113073255615
2026-02-05,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,17000.0,7.04,119680.0,1536857.0,D,103372417.50707674,0.0011577556459082218
2026-02-04,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,10000.0,7.23,72300.0,1519857.0,D,103372417.50707674,0.0006994128776668152
2026-02-03,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,187702.0,6.8,1276373.5999999999,1509857.0,D,103372417.50707674,0.012347332400469603
2026-02-02,2026-02-18 00:00:00,0001772447-26-000013,SSTI,"SOUNDTHINKING, INC.",0001351636,NASDAQ,7372,Services-Prepackaged Software,Services,Veradace Partners LP,0001772447,,false,false,true,P,18985.0,7.07,134223.95,1322155.0,D,103372417.50707674,0.001298450333628032
