txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-12-11,2025-12-15 00:00:00,0001628280-25-057132,SVCO,"Silvaco Group, Inc.",0001943289,NASDAQ,7372,Services-Prepackaged Software,Services,Ngai Anthony K.K.,0001992498,,true,false,false,P,1000.0,4.23,4230.0,91777.0,D,323377383.2213688,1.3080692155593154e-05
2025-12-10,2025-12-10 00:00:00,0001628280-25-056375,SVCO,"Silvaco Group, Inc.",0001943289,NASDAQ,7372,Services-Prepackaged Software,Services,Ngai-Pesic Katherine S.,0001992594,,true,false,true,P,25000.0,4.1322,103305.0,10303886.0,D,323377383.2213688,0.0003194564782821633
2025-12-09,2025-12-09 00:00:00,0001628280-25-056129,SVCO,"Silvaco Group, Inc.",0001943289,NASDAQ,7372,Services-Prepackaged Software,Services,RHINES WALDEN C,0001221184,Chief Executive Officer,true,true,false,P,13100.0,4.0077,52500.869999999995,105918.0,D,323377383.2213688,0.00016235170647064206
2025-12-08,2025-12-08 00:00:00,0001628280-25-055824,SVCO,"Silvaco Group, Inc.",0001943289,NASDAQ,7372,Services-Prepackaged Software,Services,Zegarelli Christopher John,0002090610,Chief Financial Officer,false,true,false,P,10000.0,3.795,37950.0,439407.0,D,323377383.2213688,0.00011735514593493149
2025-11-18,2025-11-19 00:00:00,0001628280-25-053211,SVCO,"Silvaco Group, Inc.",0001943289,NASDAQ,7372,Services-Prepackaged Software,Services,RHINES WALDEN C,0001221184,Chief Executive Officer,true,true,false,P,29000.0,4.0747,118166.3,92818.0,D,323377383.2213688,0.0003654130008192594
2025-11-18,2025-11-20 00:00:00,0001628280-25-053466,SVCO,"Silvaco Group, Inc.",0001943289,NASDAQ,7372,Services-Prepackaged Software,Services,Ngai Anthony K.K.,0001992498,,true,false,false,P,10000.0,4.2559,42558.99999999999,90777.0,D,323377383.2213688,0.00013160784336876808
2025-11-17,2025-11-18 00:00:00,0001628280-25-052862,SVCO,"Silvaco Group, Inc.",0001943289,NASDAQ,7372,Services-Prepackaged Software,Services,RHINES WALDEN C,0001221184,Chief Executive Officer,true,true,false,P,11272.0,3.9018,43981.0896,63818.0,D,323377383.2213688,0.000136005459509494
2025-11-17,2025-11-18 00:00:00,0001628280-25-052863,SVCO,"Silvaco Group, Inc.",0001943289,NASDAQ,7372,Services-Prepackaged Software,Services,Zegarelli Christopher John,0002090610,Chief Financial Officer,false,true,false,P,5000.0,3.91,19550.0,429407.0,D,323377383.2213688,6.045568123920713e-05
2025-09-15,2025-10-08 00:00:00,0001628280-25-044639,SVCO,"Silvaco Group, Inc.",0001943289,NASDAQ,7372,Services-Prepackaged Software,Services,Zegarelli Christopher John,0002090610,Chief Financial Officer,false,true,false,P,5100.0,5.03,25653.0,8493.0,D,323377383.2213688,7.932836781735962e-05
2025-09-11,2025-09-15 00:00:00,0001992498-25-000003,SVCO,"Silvaco Group, Inc.",0001943289,NASDAQ,7372,Services-Prepackaged Software,Services,Ngai Anthony K.K.,0001992498,,true,false,false,P,2000.0,5.1561,10312.2,80777.0,D,323377383.2213688,3.188905759974178e-05
2025-09-10,2025-09-15 00:00:00,0001992498-25-000003,SVCO,"Silvaco Group, Inc.",0001943289,NASDAQ,7372,Services-Prepackaged Software,Services,Ngai Anthony K.K.,0001992498,,true,false,false,P,2000.0,5.3375,10675.0,78077.0,D,323377383.2213688,3.30109666101553e-05
2025-09-10,2025-09-15 00:00:00,0001992498-25-000003,SVCO,"Silvaco Group, Inc.",0001943289,NASDAQ,7372,Services-Prepackaged Software,Services,Ngai Anthony K.K.,0001992498,,true,false,false,P,500.0,5.2762,2638.1,78577.0,D,323377383.2213688,8.15796075074948e-06
2025-09-10,2025-09-15 00:00:00,0001992498-25-000003,SVCO,"Silvaco Group, Inc.",0001943289,NASDAQ,7372,Services-Prepackaged Software,Services,Ngai Anthony K.K.,0001992498,,true,false,false,P,200.0,5.17,1034.0,78777.0,D,323377383.2213688,3.197502526922771e-06
2025-09-09,2025-09-15 00:00:00,0001992498-25-000003,SVCO,"Silvaco Group, Inc.",0001943289,NASDAQ,7372,Services-Prepackaged Software,Services,Ngai Anthony K.K.,0001992498,,true,false,false,P,2000.0,5.3185,10637.0,76077.0,D,323377383.2213688,3.289345684610978e-05
2025-09-08,2025-09-15 00:00:00,0001992498-25-000003,SVCO,"Silvaco Group, Inc.",0001943289,NASDAQ,7372,Services-Prepackaged Software,Services,Ngai Anthony K.K.,0001992498,,true,false,false,P,5000.0,5.2986,26493.000000000004,74077.0,D,323377383.2213688,8.192595207520791e-05
