txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-18,2026-03-23 00:00:00,0002075134-26-000003,THRY,"Thryv Holdings, Inc.",0001556739,NASDAQ,7310,Services-Advertising,Services,Orfanos Lou,0002075134,,true,false,false,P,5000.0,2.6,13000.0,16035.0,D,164981205.18885756,7.879685437573704e-05
2026-03-17,2026-03-23 00:00:00,0001482013-26-000005,THRY,"Thryv Holdings, Inc.",0001556739,NASDAQ,7310,Services-Advertising,Services,Slater John,0001482013,,true,false,false,P,2000.0,2.66,5320.0,40370.0,D,164981205.18885756,3.224609732914777e-05
2026-03-13,2026-03-13 00:00:00,0001573298-26-000012,THRY,"Thryv Holdings, Inc.",0001556739,NASDAQ,7310,Services-Advertising,Services,Walsh Joe,0001573298,Chairman and CEO,true,true,false,P,15000.0,2.91,43650.0,775749.0,D,164981205.18885756,0.0002645755918077632
2026-03-04,2026-03-06 00:00:00,0001482013-26-000003,THRY,"Thryv Holdings, Inc.",0001556739,NASDAQ,7310,Services-Advertising,Services,Slater John,0001482013,,true,false,false,P,3000.0,3.24,9720.0,38370.0,D,164981205.18885756,5.8915801887089534e-05
2026-03-03,2026-03-03 00:00:00,0001013594-26-000332,THRY,"Thryv Holdings, Inc.",0001556739,NASDAQ,7310,Services-Advertising,Services,PAULSON & CO. INC.,0001035674,,false,false,true,P,593621.0,2.83,1679947.43,8443835.0,I,164981205.18885756,0.010182659461584899
2026-03-03,2026-03-04 00:00:00,0001623902-26-000009,THRY,"Thryv Holdings, Inc.",0001556739,NASDAQ,7310,Services-Advertising,Services,Rouse Paul D,0001623902,"CFO, Executive VP & Treasurer",false,true,false,P,6000.0,2.61,15660.0,355079.0,D,164981205.18885756,9.491990304031092e-05
2026-03-02,2026-03-03 00:00:00,0001013594-26-000332,THRY,"Thryv Holdings, Inc.",0001556739,NASDAQ,7310,Services-Advertising,Services,PAULSON & CO. INC.,0001035674,,false,false,true,P,987078.0,2.49,2457824.22,7850214.0,I,164981205.18885756,0.014897601318807652
2026-03-02,2026-03-04 00:00:00,0001623902-26-000009,THRY,"Thryv Holdings, Inc.",0001556739,NASDAQ,7310,Services-Advertising,Services,Rouse Paul D,0001623902,"CFO, Executive VP & Treasurer",false,true,false,P,14000.0,2.35,32900.0,349079.0,D,164981205.18885756,0.0001994166545355191
2026-02-27,2026-03-03 00:00:00,0001013594-26-000332,THRY,"Thryv Holdings, Inc.",0001556739,NASDAQ,7310,Services-Advertising,Services,PAULSON & CO. INC.,0001035674,,false,false,true,P,857066.0,2.29,1962681.1400000001,6863136.0,I,164981205.18885756,0.01189639230573735
2025-11-07,2025-11-10 00:00:00,0001573298-25-000009,THRY,"Thryv Holdings, Inc.",0001556739,NASDAQ,7310,Services-Advertising,Services,Walsh Joe,0001573298,Chairman and CEO,true,true,false,P,25000.0,6.51,162750.0,610232.0,D,164981205.18885756,0.0009864760038193233
2025-11-05,2025-11-07 00:00:00,0001482013-25-000004,THRY,"Thryv Holdings, Inc.",0001556739,NASDAQ,7310,Services-Advertising,Services,Slater John,0001482013,,true,false,false,P,1100.0,7.07,7777.0,35370.0,D,164981205.18885756,4.713870280616207e-05
2025-11-05,2025-11-07 00:00:00,0001482013-25-000004,THRY,"Thryv Holdings, Inc.",0001556739,NASDAQ,7310,Services-Advertising,Services,Slater John,0001482013,,true,false,false,P,400.0,7.06,2824.0,34270.0,D,164981205.18885756,1.711710128900626e-05
2025-08-29,2025-09-02 00:00:00,0001628280-25-041508,THRY,"Thryv Holdings, Inc.",0001556739,NASDAQ,7310,Services-Advertising,Services,Slater John,0001482013,,true,false,false,P,1000.0,12.92,12920.0,33870.0,D,164981205.18885756,7.831195065650172e-05
2025-08-25,2025-08-27 00:00:00,0001628280-25-041210,THRY,"Thryv Holdings, Inc.",0001556739,NASDAQ,7310,Services-Advertising,Services,Slater John,0001482013,,true,false,false,P,1000.0,13.69,13690.0,32870.0,D,164981205.18885756,8.297914895414154e-05
2025-08-01,2025-08-05 00:00:00,0001628280-25-037992,THRY,"Thryv Holdings, Inc.",0001556739,NASDAQ,7310,Services-Advertising,Services,Walsh Joe,0001573298,Chairman and CEO,true,true,false,P,8000.0,12.9,103200.0,592232.0,D,164981205.18885756,0.0006255257978135432
2025-08-01,2025-08-05 00:00:00,0001628280-25-037725,THRY,"Thryv Holdings, Inc.",0001556739,NASDAQ,7310,Services-Advertising,Services,Kintzer Bonnie,0001824595,,true,false,false,P,814.0,12.32,10028.48,31021.0,D,164981205.18885756,6.078559062846087e-05
