txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-27,2026-04-28 00:00:00,0000318300-26-000151,PEBO,PEOPLES BANCORP INC,0000318300,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Smith Dwight Eric,0001335265,,true,false,false,P,1000.0,34.51,34510.0,9256.1792,D,1244029839.1004066,2.7740492161309542e-05
2026-01-23,2026-01-23 00:00:00,0000318300-26-000032,PEBO,PEOPLES BANCORP INC,0000318300,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",BEAM S CRAIG,0001200250,,true,false,false,P,157.0,31.65,4969.05,26665.294,D,1244029839.1004066,3.994317373925099e-06
2026-01-22,2026-01-23 00:00:00,0000318300-26-000030,PEBO,PEOPLES BANCORP INC,0000318300,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Smith Dwight Eric,0001335265,,true,false,false,P,500.0,32.62,16309.999999999998,8199.0,D,1244029839.1004066,1.3110617999158463e-05
2025-11-21,2025-11-25 00:00:00,0000318300-25-000305,PEBO,PEOPLES BANCORP INC,0000318300,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Smith Dwight Eric,0001335265,,true,false,false,P,200.0,28.56,5712.0,7699.0,D,1244029839.1004066,4.591529737044338e-06
2025-11-11,2025-11-12 00:00:00,0000318300-25-000303,PEBO,PEOPLES BANCORP INC,0000318300,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Reeves Kevin R,0001909644,,true,false,false,P,1250.0,29.105,36381.25,13054.84,D,1244029839.1004066,2.9244676338558177e-05
2025-11-07,2025-11-10 00:00:00,0000318300-25-000301,PEBO,PEOPLES BANCORP INC,0000318300,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Hogan W Glenn,0001378490,,true,false,false,P,1000.0,28.49,28490.0,535239.0,D,1244029839.1004066,2.2901379938444184e-05
2025-11-04,2025-11-05 00:00:00,0000318300-25-000299,PEBO,PEOPLES BANCORP INC,0000318300,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Wilcox Tyler J,0001823309,Chief Executive Officer,false,true,false,P,160.0,28.39,4542.4,49099.7751,D,1244029839.1004066,3.651359362316211e-06
2025-10-30,2025-11-04 00:00:00,0000318300-25-000297,PEBO,PEOPLES BANCORP INC,0000318300,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Hogan W Glenn,0001378490,,true,false,false,P,1000.0,28.82,28820.0,534239.0,D,1244029839.1004066,2.3166646887538133e-05
2025-10-23,2025-10-24 00:00:00,0000318300-25-000287,PEBO,PEOPLES BANCORP INC,0000318300,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Smith Dwight Eric,0001335265,,true,false,false,P,500.0,29.7645,14882.25,7499.0,D,1244029839.1004066,1.1962936524707299e-05
2025-07-31,2025-08-01 00:00:00,0000318300-25-000238,PEBO,PEOPLES BANCORP INC,0000318300,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SKINNER FRANCES A,0001491177,,true,false,false,P,200.0,28.74,5748.0,6711.318,D,1244029839.1004066,4.620467949672768e-06
2025-07-29,2025-07-30 00:00:00,0000318300-25-000233,PEBO,PEOPLES BANCORP INC,0000318300,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SKINNER FRANCES A,0001491177,,true,false,false,P,100.0,29.69,2969.0,6311.318,D,1244029839.1004066,2.386598702605854e-06
2025-07-29,2025-07-30 00:00:00,0000318300-25-000233,PEBO,PEOPLES BANCORP INC,0000318300,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SKINNER FRANCES A,0001491177,,true,false,false,P,100.0,29.53,2953.0,6411.318,D,1244029839.1004066,2.3737372747709962e-06
2025-07-29,2025-07-30 00:00:00,0000318300-25-000233,PEBO,PEOPLES BANCORP INC,0000318300,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SKINNER FRANCES A,0001491177,,true,false,false,P,100.0,29.4,2940.0,6511.318,D,1244029839.1004066,2.363287364655174e-06
2025-07-24,2025-07-28 00:00:00,0000318300-25-000230,PEBO,PEOPLES BANCORP INC,0000318300,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Smith Dwight Eric,0001335265,,true,false,false,P,1060.0,30.2668,32082.808,6999.0,D,1244029839.1004066,2.5789419989475486e-05
2025-07-24,2025-07-25 00:00:00,0000318300-25-000224,PEBO,PEOPLES BANCORP INC,0000318300,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Wilcox Tyler J,0001823309,Chief Executive Officer,false,true,false,P,400.0,30.03,12012.0,48763.2353,D,1244029839.1004066,9.65571694701971e-06
