txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-06,2026-05-07 00:00:00,0001104659-26-057135,SRAD,Sportradar Group AG,0001836470,NASDAQ,7370,Services-Computer Services,Services,Koerl Carsten,0001910612,Chief Executive Officer,true,true,false,P,157801.0,13.49,2128735.49,2776073.0,D,4442234514.35796,0.000479203761782412
2026-05-05,2026-05-06 00:00:00,0001104659-26-056245,SRAD,Sportradar Group AG,0001836470,NASDAQ,7370,Services-Computer Services,Services,Koerl Carsten,0001910612,Chief Executive Officer,true,true,false,P,158000.0,13.4,2117200.0,2618272.0,D,4442234514.35796,0.00047660698532616774
2026-05-04,2026-05-06 00:00:00,0001104659-26-056245,SRAD,Sportradar Group AG,0001836470,NASDAQ,7370,Services-Computer Services,Services,Koerl Carsten,0001910612,Chief Executive Officer,true,true,false,P,182000.0,13.38,2435160.0,2460272.0,D,4442234514.35796,0.0005481835756597726
2026-05-01,2026-05-04 00:00:00,0001104659-26-054872,SRAD,Sportradar Group AG,0001836470,NASDAQ,7370,Services-Computer Services,Services,Koerl Carsten,0001910612,Chief Executive Officer,true,true,false,P,143000.0,13.23,1891890.0,2278272.0,D,4442234514.35796,0.00042588701561908346
2026-04-30,2026-05-04 00:00:00,0001104659-26-054872,SRAD,Sportradar Group AG,0001836470,NASDAQ,7370,Services-Computer Services,Services,Koerl Carsten,0001910612,Chief Executive Officer,true,true,false,P,111100.0,13.06,1450966.0,2135272.0,D,4442234514.35796,0.00032662976151084846
2026-04-30,2026-05-04 00:00:00,0001104659-26-054469,SRAD,Sportradar Group AG,0001836470,NASDAQ,7370,Services-Computer Services,Services,Walder Marc,0002111021,,true,false,false,P,66000.0,12.77,842820.0,342563.0,D,4442234514.35796,0.0001897288396809941
2026-04-30,2026-05-04 00:00:00,0001104659-26-054465,SRAD,Sportradar Group AG,0001836470,NASDAQ,7370,Services-Computer Services,Services,KURTZ WILLIAM,0001231740,,true,false,false,P,8000.0,12.9732,103785.6,30179.0,D,4442234514.35796,2.336337707173036e-05
2026-04-30,2026-05-04 00:00:00,0001104659-26-054466,SRAD,Sportradar Group AG,0001836470,NASDAQ,7370,Services-Computer Services,Services,Ramanathan Rajani,0001866716,,true,false,false,P,8003.201,12.495,99999.996495,38947.201,D,4442234514.35796,2.2511192547756136e-05
2026-04-30,2026-05-04 00:00:00,0001104659-26-054464,SRAD,Sportradar Group AG,0001836470,NASDAQ,7370,Services-Computer Services,Services,Fleet George,0002113314,,true,false,false,P,7850.0,12.73,99930.5,160873.0,D,4442234514.35796,2.2495548057404405e-05
2026-04-30,2026-05-04 00:00:00,0001104659-26-054467,SRAD,Sportradar Group AG,0001836470,NASDAQ,7370,Services-Computer Services,Services,YABUKI JEFFERY W,0001207371,,true,false,false,P,5000.0,12.88,64400.00000000001,322905.0,I,4442234514.35796,1.4497208508882112e-05
2026-04-30,2026-05-04 00:00:00,0001104659-26-054460,SRAD,Sportradar Group AG,0001836470,NASDAQ,7370,Services-Computer Services,Services,Bigley Deirdre Mary,0001674277,,true,false,false,P,3940.0,12.57,49525.8,13897.0,I,4442234514.35796,1.1148848589583751e-05
2026-04-30,2026-05-04 00:00:00,0001104659-26-054467,SRAD,Sportradar Group AG,0001836470,NASDAQ,7370,Services-Computer Services,Services,YABUKI JEFFERY W,0001207371,,true,false,false,P,3000.0,13.0,39000.0,87267.0,D,4442234514.35796,8.779365401341651e-06
2026-04-30,2026-05-04 00:00:00,0001104659-26-054467,SRAD,Sportradar Group AG,0001836470,NASDAQ,7370,Services-Computer Services,Services,YABUKI JEFFERY W,0001207371,,true,false,false,P,2000.0,13.0,26000.0,324905.0,I,4442234514.35796,5.8529102675611004e-06
