txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-14,2026-05-19 00:00:00,0001633530-26-000002,FRST,Primis Financial Corp.,0001325670,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Clagett Robert Yates,0001633530,,true,false,false,P,1410.0,14.16,19965.6,52244.0,D,347304460.77975464,5.748731229991691e-05
2026-03-12,2026-03-13 00:00:00,0001193125-26-105318,FRST,Primis Financial Corp.,0001325670,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Biagas John Fitzgerald,0001625276,,true,false,false,P,1925.0,12.8,24640.0,91944.0,D,347304460.77975464,7.094639655557322e-05
2026-03-11,2026-03-12 00:00:00,0001193125-26-103541,FRST,Primis Financial Corp.,0001325670,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Biagas John Fitzgerald,0001625276,,true,false,false,P,1550.0,12.7537,19768.235,90019.0,D,347304460.77975464,5.691903569455203e-05
2026-03-06,2026-03-12 00:00:00,0001193125-26-103723,FRST,Primis Financial Corp.,0001325670,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Diaz Deborah,0001828079,,true,false,false,P,1050.0,12.7693,13407.765,21122.0,D,347304460.77975464,3.8605219667773345e-05
2026-02-10,2026-02-11 00:00:00,0001193125-26-045687,FRST,Primis Financial Corp.,0001325670,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",COOK WILLIAM RAND,0001196972,,true,false,false,P,1770.0,14.17,25080.9,46202.765,D,347304460.77975464,7.221588788030343e-05
2026-02-05,2026-02-06 00:00:00,0001193125-26-041277,FRST,Primis Financial Corp.,0001325670,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",COOK WILLIAM RAND,0001196972,,true,false,false,P,1410.0,14.2648,20113.368,44432.765,D,347304460.77975464,5.7912783368351324e-05
2026-02-03,2026-02-04 00:00:00,0001193125-26-036888,FRST,Primis Financial Corp.,0001325670,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Switzer Matthew Alan,0001839949,"EVP, CFO",false,true,false,P,2500.0,14.06,35150.0,96226.0,D,347304460.77975464,0.0001012080291772889
2025-12-10,2025-12-12 00:00:00,0001193125-25-317396,FRST,Primis Financial Corp.,0001325670,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Diaz Deborah,0001828079,,true,false,false,P,1608.0,12.3442,19849.4736,20072.0,D,347304460.77975464,5.715294746124114e-05
2025-11-13,2025-11-13 00:00:00,0001193125-25-279750,FRST,Primis Financial Corp.,0001325670,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Clagett Robert Yates,0001633530,,true,false,false,P,2268.0,10.9778,24897.650400000002,50834.0,D,347304460.77975464,7.168825400082899e-05
2025-11-11,2025-11-12 00:00:00,0001193125-25-276574,FRST,Primis Financial Corp.,0001325670,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Clagett Robert Yates,0001633530,,true,false,false,P,1830.0,10.8424,19841.592,48566.0,D,347304460.77975464,5.713025382816109e-05
2025-10-28,2025-11-12 00:00:00,0001193125-25-276504,FRST,Primis Financial Corp.,0001325670,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Johnson Eric Alan,0001364419,,true,false,false,P,2020.0,10.7,21614.0,39680.0,D,347304460.77975464,6.22335801603961e-05
2025-10-28,2025-11-12 00:00:00,0001193125-25-276504,FRST,Primis Financial Corp.,0001325670,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Johnson Eric Alan,0001364419,,true,false,false,P,300.0,10.71,3213.0000000000005,39980.0,D,347304460.77975464,9.251248869036397e-06
2025-09-09,2025-09-11 00:00:00,0000950170-25-114282,FRST,Primis Financial Corp.,0001325670,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Johnson Eric Alan,0001364419,,true,false,false,P,1818.0,11.0,19998.0,37660.0,D,347304460.77975464,5.758060220447863e-05
2025-08-06,2025-08-07 00:00:00,0000950170-25-104844,FRST,Primis Financial Corp.,0001325670,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",GARRETT F L III,0001197066,,true,false,false,P,2261.0,11.07,25029.27,45240.0,D,347304460.77975464,7.206722868979352e-05
2025-08-05,2025-08-06 00:00:00,0000950170-25-103636,FRST,Primis Financial Corp.,0001325670,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",GARRETT F L III,0001197066,,true,false,false,P,1810.0,11.02,19946.2,42979.0,D,347304460.77975464,5.743145352990157e-05
