txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-23,2026-03-24 00:00:00,0001193125-26-121925,ADV,Advantage Solutions Inc.,0001776661,NASDAQ,7389,"Services-Business Services, Nec",Services,KILTS JAMES M,0001025094,,true,false,false,P,30999.0,0.7911,24523.3089,1596659.0,D,485062843.1846237,5.0556972657388194e-05
2026-03-20,2026-03-24 00:00:00,0001193125-26-121925,ADV,Advantage Solutions Inc.,0001776661,NASDAQ,7389,"Services-Business Services, Nec",Services,KILTS JAMES M,0001025094,,true,false,false,P,33554.0,0.7681,25772.827400000002,1565660.0,D,485062843.1846237,5.3132965680882703e-05
2026-03-11,2026-03-13 00:00:00,0001193125-26-106248,ADV,Advantage Solutions Inc.,0001776661,NASDAQ,7389,"Services-Business Services, Nec",Services,KILTS JAMES M,0001025094,,true,false,false,P,16759.0,0.6996,11724.5964,1532106.0,D,485062843.1846237,2.4171293606048087e-05
2026-03-10,2026-03-11 00:00:00,0001193125-26-102266,ADV,Advantage Solutions Inc.,0001776661,NASDAQ,7389,"Services-Business Services, Nec",Services,KILTS JAMES M,0001025094,,true,false,false,P,75368.0,0.6909,52071.7512,1515347.0,D,485062843.1846237,0.00010735052567236231
2026-03-09,2026-03-11 00:00:00,0001193125-26-102266,ADV,Advantage Solutions Inc.,0001776661,NASDAQ,7389,"Services-Business Services, Nec",Services,KILTS JAMES M,0001025094,,true,false,false,P,66499.0,0.6143,40850.335699999996,1439979.0,D,485062843.1846237,8.421658404466083e-05
2026-03-06,2026-03-10 00:00:00,0001193125-26-100220,ADV,Advantage Solutions Inc.,0001776661,NASDAQ,7389,"Services-Business Services, Nec",Services,Growe Christopher,0001968701,Chief Financial Officer,false,true,false,P,50000.0,0.6048,30240.0,244021.0,I,485062843.1846237,6.234243753131614e-05
2026-03-05,2026-03-09 00:00:00,0001193125-26-098640,ADV,Advantage Solutions Inc.,0001776661,NASDAQ,7389,"Services-Business Services, Nec",Services,PEACOCK DAVID A,0001382184,Chief Executive Officer,true,true,false,P,200000.0,0.6439,128780.0,3701366.0,D,485062843.1846237,0.00026549137252919615
2025-06-06,2025-06-10 00:00:00,0000950170-25-084374,ADV,Advantage Solutions Inc.,0001776661,NASDAQ,7389,"Services-Business Services, Nec",Services,KILTS JAMES M,0001025094,,true,false,false,P,9700.0,1.2871,12484.869999999999,1373480.0,D,485062843.1846237,2.5738664949127078e-05
2025-06-05,2025-06-06 00:00:00,0000950170-25-083132,ADV,Advantage Solutions Inc.,0001776661,NASDAQ,7389,"Services-Business Services, Nec",Services,KILTS JAMES M,0001025094,,true,false,false,P,15755.0,1.2373,19493.661500000002,1363780.0,D,485062843.1846237,4.0187909203716025e-05
2025-06-04,2025-06-06 00:00:00,0000950170-25-083132,ADV,Advantage Solutions Inc.,0001776661,NASDAQ,7389,"Services-Business Services, Nec",Services,KILTS JAMES M,0001025094,,true,false,false,P,5494.0,1.2928,7102.6431999999995,1348025.0,D,485062843.1846237,1.4642727844022067e-05
