txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-07-14,2026-07-15 00:00:00,0002106207-26-000006,HNRG,HALLADOR ENERGY CO,0000788965,NASDAQ,4911,Electric Services,"Transportation, Communications, Electric, Gas",Sugg Barbara Ann,0002106207,,true,false,false,P,3700.0,17.1299,63380.63,3700.0,D,753143642.5854187,8.415476997512013e-05
2026-07-14,2026-07-15 00:00:00,0002106207-26-000006,HNRG,HALLADOR ENERGY CO,0000788965,NASDAQ,4911,Electric Services,"Transportation, Communications, Electric, Gas",Sugg Barbara Ann,0002106207,,true,false,false,P,1300.0,17.129,22267.7,5000.0,D,753143642.5854187,2.956633866490413e-05
2026-07-09,2026-07-10 00:00:00,0002123678-26-000011,HNRG,HALLADOR ENERGY CO,0000788965,NASDAQ,4911,Electric Services,"Transportation, Communications, Electric, Gas",Hudson Daniel Timothy,0002123678,,true,false,false,P,2500.0,16.6,41500.0,17500.0,D,753143642.5854187,5.5102370455571135e-05
2026-07-09,2026-07-10 00:00:00,0002123678-26-000011,HNRG,HALLADOR ENERGY CO,0000788965,NASDAQ,4911,Electric Services,"Transportation, Communications, Electric, Gas",Hudson Daniel Timothy,0002123678,,true,false,false,P,2500.0,16.565,41412.5,20000.0,D,753143642.5854187,5.498619075882746e-05
2026-06-29,2026-06-30 00:00:00,0002123678-26-000009,HNRG,HALLADOR ENERGY CO,0000788965,NASDAQ,4911,Electric Services,"Transportation, Communications, Electric, Gas",Hudson Daniel Timothy,0002123678,,true,false,false,P,5000.0,16.98,84900.0,15000.0,D,753143642.5854187,0.00011272750004043348
2026-06-29,2026-06-30 00:00:00,0002123678-26-000009,HNRG,HALLADOR ENERGY CO,0000788965,NASDAQ,4911,Electric Services,"Transportation, Communications, Electric, Gas",Hudson Daniel Timothy,0002123678,,true,false,false,P,5000.0,16.9,84500.0,10000.0,D,753143642.5854187,0.00011219639285531953
2026-06-25,2026-06-25 00:00:00,0002123678-26-000007,HNRG,HALLADOR ENERGY CO,0000788965,NASDAQ,4911,Electric Services,"Transportation, Communications, Electric, Gas",Hudson Daniel Timothy,0002123678,,true,false,false,P,2000.0,17.7,35400.0,5000.0,D,753143642.5854187,4.7002985882583567e-05
2026-06-24,2026-06-25 00:00:00,0002123678-26-000007,HNRG,HALLADOR ENERGY CO,0000788965,NASDAQ,4911,Electric Services,"Transportation, Communications, Electric, Gas",Hudson Daniel Timothy,0002123678,,true,false,false,P,3000.0,17.04,51120.0,3000.0,D,753143642.5854187,6.787549825756136e-05
2026-06-16,2026-06-17 00:00:00,0001750200-26-000009,HNRG,HALLADOR ENERGY CO,0000788965,NASDAQ,4911,Electric Services,"Transportation, Communications, Electric, Gas",Wesley Charles Ray IV,0001750200,,true,false,false,P,15000.0,16.6876,250314.0,338469.0,I,753143642.5854187,0.0003323589098365261
2025-12-17,2025-12-19 00:00:00,0001750200-25-000005,HNRG,HALLADOR ENERGY CO,0000788965,NASDAQ,4911,Electric Services,"Transportation, Communications, Electric, Gas",Wesley Charles Ray IV,0001750200,,true,false,false,P,20000.0,17.8288,356576.0,267914.0,I,753143642.5854187,0.0004734501890979694
2025-11-21,2025-11-21 00:00:00,0001750200-25-000003,HNRG,HALLADOR ENERGY CO,0000788965,NASDAQ,4911,Electric Services,"Transportation, Communications, Electric, Gas",Wesley Charles Ray IV,0001750200,,true,false,false,P,13000.0,19.2819,250664.7,247914.0,I,753143642.5854187,0.00033282455806107474
2025-08-19,2025-08-19 00:00:00,0001415889-25-022392,HNRG,HALLADOR ENERGY CO,0000788965,NASDAQ,4911,Electric Services,"Transportation, Communications, Electric, Gas",Wesley Charles Ray IV,0001750200,,true,false,false,P,20000.0,15.2702,305404.0,234914.0,I,753143642.5854187,0.0004055056469063433
