txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-26,2026-06-29 00:00:00,0000937797-26-000015,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,false,false,false,P,17693.0,6.9982,123819.1526,3725813.0,D,1516542042.2554016,8.164571053754378e-05
2026-06-26,2026-06-30 00:00:00,0001724412-26-000004,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",WINTER JOHN M,0001724412,"SVP, CLO AND SECRETARY",false,true,false,P,5071.0,19.6684,99738.4564,64547.0,D,1516542042.2554016,6.576702367688333e-05
2026-06-25,2026-06-29 00:00:00,0000937797-26-000015,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,false,false,false,P,336706.0,6.9615,2343978.819,3708120.0,D,1516542042.2554016,0.0015456075424813377
2026-06-25,2026-06-29 00:00:00,0000937797-26-000015,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,false,false,false,P,45300.0,20.4487,926326.11,1261922.0,I,1516542042.2554016,0.0006108146587366399
2026-06-24,2026-06-24 00:00:00,0000937797-26-000013,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,false,false,false,P,199350.0,20.3942,4065583.7700000005,1216622.0,I,1516542042.2554016,0.0026808249667471555
2026-06-24,2026-06-25 00:00:00,0001091974-26-000012,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",BRACKEN CHARLES H R,0001091974,,true,false,false,P,4900.0,20.5,100450.0,23767.0,I,1516542042.2554016,6.623621185642222e-05
2026-06-23,2026-06-24 00:00:00,0000937797-26-000013,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,false,false,false,P,477627.0,20.3623,9725584.2621,1015798.0,I,1516542042.2554016,0.006413000095688814
2026-06-23,2026-06-24 00:00:00,0000937797-26-000013,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,false,false,false,P,400000.0,5.9202,2368080.0,3371414.0,D,1516542042.2554016,0.0015614997369134528
2026-06-23,2026-06-25 00:00:00,0001091974-26-000012,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",BRACKEN CHARLES H R,0001091974,,true,false,false,P,4900.0,20.5,100450.0,18867.0,I,1516542042.2554016,6.623621185642222e-05
2026-06-23,2026-06-24 00:00:00,0000937797-26-000013,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,false,false,false,P,1474.0,20.627,30404.197999999997,1017272.0,I,1516542042.2554016,2.0048371329543142e-05
2026-06-22,2026-06-24 00:00:00,0000937797-26-000013,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,false,false,false,P,1095072.0,4.9788,5452144.473599999,2971414.0,D,1516542042.2554016,0.0035951159425106137
2026-06-22,2026-06-24 00:00:00,0000937797-26-000013,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,false,false,false,P,260299.0,19.8922,5177919.7678,538171.0,I,1516542042.2554016,0.00341429358601849
2026-06-22,2026-06-24 00:00:00,0000937797-26-000013,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,false,false,false,P,224109.0,4.9634,1112342.6106,21397127.0,D,1516542042.2554016,0.0007334729797175447
2026-06-18,2026-06-23 00:00:00,0001712184-26-000108,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",Nair Balan,0001398905,President and CEO,true,true,false,P,151759.0,4.9528,751631.9752,3276798.0,D,1516542042.2554016,0.0004956222473609586
2026-06-18,2026-06-23 00:00:00,0001712184-26-000107,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",PADDICK BRENDAN J,0001724506,,true,false,false,P,100000.0,4.882,488199.99999999994,1559542.0,D,1516542042.2554016,0.00032191656175515503
2026-06-18,2026-06-23 00:00:00,0001712184-26-000108,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",Nair Balan,0001398905,President and CEO,true,true,false,P,13155.0,18.954,249339.87,394908.0,D,1516542042.2554016,0.00016441342412715554
2026-05-22,2026-05-27 00:00:00,0001712184-26-000089,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,false,false,false,P,12345404.0,8.63,106540836.52000001,21173018.0,D,1516542042.2554016,0.07025247803981251
2026-05-22,2026-05-27 00:00:00,0001712184-26-000089,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,false,false,false,P,61059.0,8.63,526939.17,1876342.0,D,1516542042.2554016,0.00034746097062784753
2026-05-08,2026-05-12 00:00:00,0001398905-26-000012,LILA,Liberty Latin America Ltd.,0001712184,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",Nair Balan,0001398905,President and CEO,true,true,false,P,20000.0,8.0745,161490.0,3125039.0,D,1516542042.2554016,0.00010648567299844325
