txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-10,2026-09-10 00:00:00,0001140361-26-036239,PRTS,"CarParts.com, Inc.",0001378950,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,Huffaker Michael,0001956633,COO,false,true,false,P,13250.0,10.06,133295.0,152810.0,D,69892222.0568285,0.001907150696848921
2026-09-10,2026-09-10 00:00:00,0001140361-26-036237,PRTS,"CarParts.com, Inc.",0001378950,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,Meniane David,0001770720,CEO,false,true,false,P,13250.0,10.06,133295.0,312664.0,D,69892222.0568285,0.001907150696848921
2026-09-09,2026-09-09 00:00:00,0001140361-26-036089,PRTS,"CarParts.com, Inc.",0001378950,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,Meniane David,0001770720,CEO,false,true,false,P,36643.0,9.64,353238.52,299414.0,D,69892222.0568285,0.0050540462100745085
2026-09-09,2026-09-09 00:00:00,0001140361-26-036090,PRTS,"CarParts.com, Inc.",0001378950,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,Huffaker Michael,0001956633,COO,false,true,false,P,36580.0,9.64,352631.2,139560.0,D,69892222.0568285,0.005045356831168996
2026-09-08,2026-09-09 00:00:00,0001140361-26-036089,PRTS,"CarParts.com, Inc.",0001378950,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,Meniane David,0001770720,CEO,false,true,false,P,21742.0,9.35,203287.69999999998,262771.0,D,69892222.0568285,0.002908588309507591
2026-09-08,2026-09-09 00:00:00,0001140361-26-036090,PRTS,"CarParts.com, Inc.",0001378950,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,Huffaker Michael,0001956633,COO,false,true,false,P,21718.0,9.35,203063.3,102980.0,D,69892222.0568285,0.0029053776518207096
2026-09-04,2026-09-09 00:00:00,0001140361-26-036090,PRTS,"CarParts.com, Inc.",0001378950,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,Huffaker Michael,0001956633,COO,false,true,false,P,21160.0,9.11,192767.59999999998,81262.0,D,69892222.0568285,0.0027580694149810124
2026-09-04,2026-09-09 00:00:00,0001140361-26-036089,PRTS,"CarParts.com, Inc.",0001378950,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,Meniane David,0001770720,CEO,false,true,false,P,21154.0,9.11,192712.94,241029.0,D,69892222.0568285,0.002757287353710224
2026-08-28,2026-08-31 00:00:00,0001140361-26-035125,PRTS,"CarParts.com, Inc.",0001378950,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,Meniane David,0001770720,CEO,false,true,false,P,7552.0,7.16,54072.32,219875.0,D,69892222.0568285,0.0007736528959693751
2026-08-28,2026-08-31 00:00:00,0001140361-26-035126,PRTS,"CarParts.com, Inc.",0001378950,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,Huffaker Michael,0001956633,COO,false,true,false,P,7548.0,7.16,54043.68,60102.0,D,69892222.0568285,0.0007732431221897303
2026-08-27,2026-08-31 00:00:00,0001140361-26-035126,PRTS,"CarParts.com, Inc.",0001378950,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,Huffaker Michael,0001956633,COO,false,true,false,P,4614.0,6.88,31744.32,52554.0,D,69892222.0568285,0.0004541895945759041
2026-08-27,2026-08-31 00:00:00,0001140361-26-035125,PRTS,"CarParts.com, Inc.",0001378950,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,Meniane David,0001770720,CEO,false,true,false,P,4612.0,6.88,31730.56,212323.0,D,69892222.0568285,0.00045399272002255526
2026-08-25,2026-08-26 00:00:00,0001140361-26-034452,PRTS,"CarParts.com, Inc.",0001378950,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,PHELPS BARRY,0001240508,,true,false,false,P,9900.0,6.48,64152.00000000001,345788.0,D,69892222.0568285,0.0009178703740144191
2026-08-25,2026-09-09 00:00:00,0001140361-26-036091,PRTS,"CarParts.com, Inc.",0001378950,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,PHELPS BARRY,0001240508,,true,false,false,P,9900.0,6.48,64152.00000000001,43577.0,D,69892222.0568285,0.0009178703740144191
2026-08-20,2026-08-26 00:00:00,0001140361-26-034452,PRTS,"CarParts.com, Inc.",0001378950,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,PHELPS BARRY,0001240508,,true,false,false,P,100.0,6.15,615.0,335888.0,D,69892222.0568285,8.799262377149079e-06
2026-08-20,2026-09-09 00:00:00,0001140361-26-036091,PRTS,"CarParts.com, Inc.",0001378950,NASDAQ,5531,Retail-Auto & Home Supply Stores,Retail Trade,PHELPS BARRY,0001240508,,true,false,false,P,100.0,6.15,615.0,33677.0,D,69892222.0568285,8.799262377149079e-06
