txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-12-16,2025-12-17 00:00:00,0001654954-25-014061,SCWO,374Water Inc.,0000933972,NASDAQ,3621,Motors & Generators,Manufacturing,Jones Stephen J,0001412239,Interim CEO,true,true,false,P,450000.0,0.2311,103995.0,1055723.0,D,43429006.48633385,0.0023945977219793167
2025-12-16,2025-12-18 00:00:00,0001654954-25-014121,SCWO,374Water Inc.,0000933972,NASDAQ,3621,Motors & Generators,Manufacturing,Russell Kline,0002049257,Chief Financial Officer,false,true,false,P,20000.0,0.22,4400.0,668642.0,D,43429006.48633385,0.00010131477452482325
2025-08-26,2025-08-27 00:00:00,0001654954-25-010095,SCWO,374Water Inc.,0000933972,NASDAQ,3621,Motors & Generators,Manufacturing,Estes Deanna Rene,0001935149,,true,false,false,P,30000.0,0.2902,8706.0,106500.0,D,43429006.48633385,0.00020046509704843435
2025-08-25,2025-08-26 00:00:00,0001654954-25-010054,SCWO,374Water Inc.,0000933972,NASDAQ,3621,Motors & Generators,Manufacturing,Pawloski James,0002080521,,true,false,false,P,193300.0,0.2629,50818.57000000001,193300.0,D,43429006.48633385,0.0011701527184599882
2025-08-22,2025-08-25 00:00:00,0001654954-25-009981,SCWO,374Water Inc.,0000933972,NASDAQ,3621,Motors & Generators,Manufacturing,Russell Kline,0002049257,Chief Financial Officer,false,true,false,P,15000.0,0.2496,3744.0,398642.0,D,43429006.48633385,8.620966268657688e-05
2025-08-21,2025-08-25 00:00:00,0001654954-25-009981,SCWO,374Water Inc.,0000933972,NASDAQ,3621,Motors & Generators,Manufacturing,Russell Kline,0002049257,Chief Financial Officer,false,true,false,P,15000.0,0.2462,3693.0,383642.0,D,43429006.48633385,8.50353323454937e-05
2025-08-20,2025-08-21 00:00:00,0001654954-25-009916,SCWO,374Water Inc.,0000933972,NASDAQ,3621,Motors & Generators,Manufacturing,Russell Kline,0002049257,Chief Financial Officer,false,true,false,P,20000.0,0.239,4780.0,368642.0,D,43429006.48633385,0.00011006468687014889
2025-08-19,2025-08-20 00:00:00,0001654954-25-009860,SCWO,374Water Inc.,0000933972,NASDAQ,3621,Motors & Generators,Manufacturing,Mandel Peter,0002035922,General Counsel,false,true,false,P,4980.0,0.2498,1244.004,263575.0,D,43429006.48633385,2.864454199272232e-05
2025-08-18,2025-08-20 00:00:00,0001654954-25-009860,SCWO,374Water Inc.,0000933972,NASDAQ,3621,Motors & Generators,Manufacturing,Mandel Peter,0002035922,General Counsel,false,true,false,P,20.0,0.248,4.96,258595.0,D,43429006.48633385,1.1420938219161893e-07
2025-06-03,2025-06-05 00:00:00,0001654954-25-006640,SCWO,374Water Inc.,0000933972,NASDAQ,3621,Motors & Generators,Manufacturing,Jones Stephen J,0001412239,,true,false,false,P,40000.0,0.475,19000.0,179593.0,D,43429006.48633385,0.0004374956172662822
2025-05-30,2025-06-03 00:00:00,0001654954-25-006519,SCWO,374Water Inc.,0000933972,NASDAQ,3621,Motors & Generators,Manufacturing,Jones Stephen J,0001412239,,true,false,false,P,50000.0,0.4224,21120.0,139593.0,D,43429006.48633385,0.0004863109177191516
2025-05-22,2025-05-27 00:00:00,0001654954-25-006140,SCWO,374Water Inc.,0000933972,NASDAQ,3621,Motors & Generators,Manufacturing,Jones Stephen J,0001412239,,true,false,false,P,40000.0,0.315,12600.0,89593.0,D,43429006.48633385,0.00029012867250290293
2025-05-20,2025-05-22 00:00:00,0001654954-25-006045,SCWO,374Water Inc.,0000933972,NASDAQ,3621,Motors & Generators,Manufacturing,Jones Stephen J,0001412239,,true,false,false,P,49593.0,0.3,14877.9,49593.0,D,43429006.48633385,0.0003425797917961063
