txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-01-02,2026-01-05 00:00:00,0001493152-26-000480,MDBH,"MDB Capital Holdings, LLC",0001934642,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",MARLETT CHRISTOPHER A,0000897744,Co-Founder,true,true,true,P,1213.0,3.5,4245.5,169933.0,D,38625495.0,0.00010991444899282197
2025-12-31,2025-12-31 00:00:00,0001493152-25-029816,MDBH,"MDB Capital Holdings, LLC",0001934642,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",MARLETT CHRISTOPHER A,0000897744,Co-Founder,true,true,true,P,4387.0,3.35,14696.45,166720.0,D,38625495.0,0.0003804857387588172
2025-12-30,2025-12-31 00:00:00,0001493152-25-029816,MDBH,"MDB Capital Holdings, LLC",0001934642,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",MARLETT CHRISTOPHER A,0000897744,Co-Founder,true,true,true,P,4400.0,3.18,13992.0,162333.0,D,38625495.0,0.0003622477847856707
2025-12-09,2025-12-11 00:00:00,0001493152-25-027156,MDBH,"MDB Capital Holdings, LLC",0001934642,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Brandon George Hugh,0001953120,President,true,true,false,P,3700.0,3.38,12506.0,105248.0,D,38625495.0,0.0003237757859154944
2025-12-08,2025-12-08 00:00:00,0001493152-25-026703,MDBH,"MDB Capital Holdings, LLC",0001934642,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Brandon George Hugh,0001953120,President,true,true,false,P,600.0,3.3,1980.0,101548.0,D,38625495.0,5.126147897910435e-05
2025-12-05,2025-12-08 00:00:00,0001493152-25-026703,MDBH,"MDB Capital Holdings, LLC",0001934642,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Brandon George Hugh,0001953120,President,true,true,false,P,900.0,3.29,2961.0,100948.0,D,38625495.0,7.665921174602422e-05
2025-12-04,2025-12-08 00:00:00,0001493152-25-026703,MDBH,"MDB Capital Holdings, LLC",0001934642,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Brandon George Hugh,0001953120,President,true,true,false,P,1900.0,3.52,6688.0,100048.0,D,38625495.0,0.00017314988455164134
2025-12-03,2025-12-03 00:00:00,0001493152-25-026023,MDBH,"MDB Capital Holdings, LLC",0001934642,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Brandon George Hugh,0001953120,President,true,true,false,P,3900.0,3.63,14157.0,98148.0,D,38625495.0,0.0003665195747005961
2025-12-02,2025-12-03 00:00:00,0001493152-25-026023,MDBH,"MDB Capital Holdings, LLC",0001934642,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Brandon George Hugh,0001953120,President,true,true,false,P,1250.0,3.5,4375.0,94248.0,D,38625495.0,0.00011326715683514218
2025-12-01,2025-12-03 00:00:00,0001493152-25-026023,MDBH,"MDB Capital Holdings, LLC",0001934642,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Brandon George Hugh,0001953120,President,true,true,false,P,2998.0,3.49,10463.02,92998.0,D,38625495.0,0.00027088377767068097
2025-10-06,2025-10-07 00:00:00,0001493152-25-017232,MDBH,"MDB Capital Holdings, LLC",0001934642,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",MARLETT CHRISTOPHER A,0000897744,Co-Founder,true,true,true,P,1725.0,3.41,5882.25,157933.0,I,38625495.0,0.00015228931046708916
2025-10-03,2025-10-07 00:00:00,0001493152-25-017232,MDBH,"MDB Capital Holdings, LLC",0001934642,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",MARLETT CHRISTOPHER A,0000897744,Co-Founder,true,true,true,P,2275.0,3.35,7621.25,156208.0,I,38625495.0,0.00019731138720681767
2025-08-29,2025-08-29 00:00:00,0001641172-25-026105,MDBH,"MDB Capital Holdings, LLC",0001934642,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",MARLETT CHRISTOPHER A,0000897744,Co-Founder,true,true,true,P,1645.0,3.52,5790.4,153933.0,I,38625495.0,0.00014991134741444736
2025-08-28,2025-08-29 00:00:00,0001641172-25-026105,MDBH,"MDB Capital Holdings, LLC",0001934642,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",MARLETT CHRISTOPHER A,0000897744,Co-Founder,true,true,true,P,1575.0,3.56,5607.0,152288.0,I,38625495.0,0.0001451631881999182
2025-08-27,2025-08-27 00:00:00,0001641172-25-025741,MDBH,"MDB Capital Holdings, LLC",0001934642,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",MARLETT CHRISTOPHER A,0000897744,Co-Founder,true,true,true,P,1288.0,3.4,4379.2,150713.0,I,38625495.0,0.00011337589330570391
