txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-12,2026-05-12 00:00:00,0001016245-26-000012,BUSE,FIRST BUSEY CORP /NV/,0000314489,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",BRADSHAW STANLEY J,0001016245,,true,false,false,P,600.0,25.99,15593.999999999998,505854.0,D,2528011260.7781982,6.168485181193257e-06
2026-05-04,2026-05-05 00:00:00,0001968192-26-000011,BUSE,FIRST BUSEY CORP /NV/,0000314489,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Phillips Scott A.,0001968192,Chief Accounting Officer,false,true,false,P,5000.0,25.9015,129507.5,8350.0,D,2528011260.7781982,5.122900439934499e-05
2026-03-19,2026-03-23 00:00:00,0001016245-26-000006,BUSE,FIRST BUSEY CORP /NV/,0000314489,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",BRADSHAW STANLEY J,0001016245,,true,false,false,P,400.0,24.0,9600.0,502081.0,D,2528011260.7781982,3.797451438980074e-06
2026-03-06,2026-03-10 00:00:00,0001016245-26-000004,BUSE,FIRST BUSEY CORP /NV/,0000314489,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",BRADSHAW STANLEY J,0001016245,,true,false,false,P,1000.0,24.5,24500.0,501681.0,D,2528011260.7781982,9.69141252656373e-06
2025-12-03,2025-12-05 00:00:00,0001776678-25-000012,BUSE,FIRST BUSEY CORP /NV/,0000314489,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Maddox Mike,0001776678,President,true,true,false,P,1000.0,25.519,25519.0,40280.0,I,2528011260.7781982,1.0094496174097136e-05
2025-10-31,2025-11-04 00:00:00,0001968192-25-000009,BUSE,FIRST BUSEY CORP /NV/,0000314489,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Phillips Scott A.,0001968192,CAO,false,true,false,P,1350.0,25.6367,34609.545,2350.0,D,2528011260.7781982,1.3690423589864127e-05
2025-10-31,2025-11-04 00:00:00,0001016245-25-000004,BUSE,FIRST BUSEY CORP /NV/,0000314489,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",BRADSHAW STANLEY J,0001016245,,true,false,false,P,1000.0,22.36,22360.0,500382.0,D,2528011260.7781982,8.844897309957755e-06
2025-10-31,2025-11-04 00:00:00,0001016245-25-000004,BUSE,FIRST BUSEY CORP /NV/,0000314489,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",BRADSHAW STANLEY J,0001016245,,true,false,false,P,500.0,22.22,11110.0,499382.0,D,2528011260.7781982,4.394758904902982e-06
2025-09-12,2025-09-16 00:00:00,0001789719-25-000004,BUSE,FIRST BUSEY CORP /NV/,0000314489,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Jensen Karen M,0001789719,,true,false,false,P,3000.0,24.6,73800.0,86798.0,D,2528011260.7781982,2.919290793715932e-05
2025-09-05,2025-09-05 00:00:00,0001776678-25-000007,BUSE,FIRST BUSEY CORP /NV/,0000314489,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Maddox Mike,0001776678,President,true,true,false,P,7500.0,25.44,190800.0,39280.0,I,2528011260.7781982,7.547434734972897e-05
2025-09-05,2025-09-05 00:00:00,0001776678-25-000007,BUSE,FIRST BUSEY CORP /NV/,0000314489,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Maddox Mike,0001776678,President,true,true,false,P,460.0,25.44,11702.400000000001,460.0,I,2528011260.7781982,4.629093304116711e-06
2025-09-05,2025-09-05 00:00:00,0001776678-25-000007,BUSE,FIRST BUSEY CORP /NV/,0000314489,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Maddox Mike,0001776678,President,true,true,false,P,460.0,25.44,11702.400000000001,460.0,I,2528011260.7781982,4.629093304116711e-06
2025-09-04,2025-09-05 00:00:00,0001776678-25-000007,BUSE,FIRST BUSEY CORP /NV/,0000314489,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Maddox Mike,0001776678,President,true,true,false,P,10000.0,25.5162,255162.0,31780.0,I,2528011260.7781982,0.00010093388584094101
2025-09-02,2025-09-04 00:00:00,0001776678-25-000005,BUSE,FIRST BUSEY CORP /NV/,0000314489,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Maddox Mike,0001776678,President,true,true,false,P,21780.0,25.2622,550210.716,21780.0,I,2528011260.7781982,0.00021764567450171425
2025-08-19,2025-08-21 00:00:00,0001968192-25-000007,BUSE,FIRST BUSEY CORP /NV/,0000314489,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Phillips Scott A.,0001968192,CAO and Interim CFO,false,true,false,P,1000.0,25.25,25250.0,1000.0,D,2528011260.7781982,9.988088420234049e-06
