txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-08-14,2025-08-15 00:00:00,0001683168-25-006248,AAOI,"APPLIED OPTOELECTRONICS, INC.",0001158114,NASDAQ,3674,Semiconductors & Related Devices,Manufacturing,Lin Chih-Hsiang (Thompson),0001587420,President and CEO,true,true,false,P,5750.0,21.62,124315.0,1661165.0,I,16335020665.905579,7.610336255005175e-06
2025-08-14,2025-08-15 00:00:00,0001683168-25-006247,AAOI,"APPLIED OPTOELECTRONICS, INC.",0001158114,NASDAQ,3674,Semiconductors & Related Devices,Manufacturing,Lin Che-Wei,0001601346,,true,false,false,P,4609.0,21.64,99738.76000000001,253506.0,D,16335020665.905579,6.105823925168001e-06
2025-08-14,2025-08-14 00:00:00,0001683168-25-006191,AAOI,"APPLIED OPTOELECTRONICS, INC.",0001158114,NASDAQ,3674,Semiconductors & Related Devices,Manufacturing,Yeh William H,0001587419,,true,false,false,P,4000.0,21.4,85600.0,253819.0,D,16335020665.905579,5.240274974286635e-06
2025-08-14,2025-08-15 00:00:00,0001683168-25-006248,AAOI,"APPLIED OPTOELECTRONICS, INC.",0001158114,NASDAQ,3674,Semiconductors & Related Devices,Manufacturing,Lin Chih-Hsiang (Thompson),0001587420,President and CEO,true,true,false,P,1405.0,21.26,29870.300000000003,1662570.0,D,16335020665.905579,1.828604971547127e-06
2025-08-14,2025-08-15 00:00:00,0001683168-25-006248,AAOI,"APPLIED OPTOELECTRONICS, INC.",0001158114,NASDAQ,3674,Semiconductors & Related Devices,Manufacturing,Lin Chih-Hsiang (Thompson),0001587420,President and CEO,true,true,false,P,920.0,21.6,19872.0,1663490.0,D,16335020665.905579,1.2165273865540188e-06
2025-08-13,2025-08-14 00:00:00,0001683168-25-006191,AAOI,"APPLIED OPTOELECTRONICS, INC.",0001158114,NASDAQ,3674,Semiconductors & Related Devices,Manufacturing,Yeh William H,0001587419,,true,false,false,P,10000.0,22.75,227500.0,245819.0,D,16335020665.905579,1.3927132671147306e-05
2025-08-13,2025-08-14 00:00:00,0001683168-25-006190,AAOI,"APPLIED OPTOELECTRONICS, INC.",0001158114,NASDAQ,3674,Semiconductors & Related Devices,Manufacturing,Lin Chih-Hsiang (Thompson),0001587420,President and CEO,true,true,false,P,8850.0,22.53,199390.5,1652165.0,D,16335020665.905579,1.220632064556658e-05
2025-08-13,2025-08-14 00:00:00,0001683168-25-006189,AAOI,"APPLIED OPTOELECTRONICS, INC.",0001158114,NASDAQ,3674,Semiconductors & Related Devices,Manufacturing,Chen Min-Chu (Mike),0001587425,,true,false,false,P,7500.0,22.91,171825.0,22500.0,I,16335020665.905579,1.0518811302065432e-05
2025-08-13,2025-08-14 00:00:00,0001683168-25-006191,AAOI,"APPLIED OPTOELECTRONICS, INC.",0001158114,NASDAQ,3674,Semiconductors & Related Devices,Manufacturing,Yeh William H,0001587419,,true,false,false,P,4000.0,23.15,92600.0,249819.0,D,16335020665.905579,5.668802133398859e-06
2025-08-13,2025-08-14 00:00:00,0001683168-25-006190,AAOI,"APPLIED OPTOELECTRONICS, INC.",0001158114,NASDAQ,3674,Semiconductors & Related Devices,Manufacturing,Lin Chih-Hsiang (Thompson),0001587420,President and CEO,true,true,false,P,3250.0,22.65,73612.5,1655415.0,I,16335020665.905579,4.5064222143069496e-06
2025-08-12,2025-08-14 00:00:00,0001683168-25-006190,AAOI,"APPLIED OPTOELECTRONICS, INC.",0001158114,NASDAQ,3674,Semiconductors & Related Devices,Manufacturing,Lin Chih-Hsiang (Thompson),0001587420,President and CEO,true,true,false,P,6500.0,23.14,150410.0,1643315.0,I,16335020665.905579,9.20782428600996e-06
