txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-09-11,2025-09-12 00:00:00,0001493152-25-013208,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP ControlCo, LLC",0001707921,,false,false,true,P,1803.0,13.3404,24052.7412,3457105.0,I,897322818.2333965,2.6805003407083543e-05
2025-09-11,2025-09-12 00:00:00,0001493152-25-013209,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP Fiber Holdings GP, LLC",0002032452,,false,false,true,P,1803.0,13.3404,24052.7412,3457105.0,I,897322818.2333965,2.6805003407083543e-05
2025-09-10,2025-09-12 00:00:00,0001493152-25-013209,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP Fiber Holdings GP, LLC",0002032452,,false,false,true,P,13541.0,13.2865,179912.4965,3455302.0,I,897322818.2333965,0.00020049918807838027
2025-09-10,2025-09-12 00:00:00,0001493152-25-013208,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP ControlCo, LLC",0001707921,,false,false,true,P,13541.0,13.2865,179912.4965,3455302.0,I,897322818.2333965,0.00020049918807838027
2025-09-09,2025-09-10 00:00:00,0001493152-25-012999,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP ControlCo, LLC",0001707921,,false,false,true,P,362.0,13.3855,4845.551,3441761.0,I,897322818.2333965,5.400008671951165e-06
2025-09-09,2025-09-10 00:00:00,0001493152-25-012998,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP Fiber Holdings GP, LLC",0002032452,,false,false,true,P,362.0,13.3855,4845.551,3441761.0,I,897322818.2333965,5.400008671951165e-06
2025-09-08,2025-09-10 00:00:00,0001493152-25-012999,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP ControlCo, LLC",0001707921,,false,false,true,P,147.0,13.4649,1979.3403,3441399.0,I,897322818.2333965,2.2058285600012095e-06
2025-09-08,2025-09-10 00:00:00,0001493152-25-012998,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP Fiber Holdings GP, LLC",0002032452,,false,false,true,P,147.0,13.4649,1979.3403,3441399.0,I,897322818.2333965,2.2058285600012095e-06
2025-09-05,2025-09-08 00:00:00,0001493152-25-012815,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP ControlCo, LLC",0001707921,,false,false,true,P,3000.0,13.45,40350.0,3441252.0,I,897322818.2333965,4.496709453955381e-05
2025-09-05,2025-09-08 00:00:00,0001493152-25-012814,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP Fiber Holdings GP, LLC",0002032452,,false,false,true,P,3000.0,13.45,40350.0,3441252.0,I,897322818.2333965,4.496709453955381e-05
2025-09-04,2025-09-08 00:00:00,0001493152-25-012814,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP Fiber Holdings GP, LLC",0002032452,,false,false,true,P,2068.0,12.9588,26798.7984,3438252.0,I,897322818.2333965,2.986528131844469e-05
2025-09-04,2025-09-08 00:00:00,0001493152-25-012815,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP ControlCo, LLC",0001707921,,false,false,true,P,2068.0,12.9588,26798.7984,3438252.0,I,897322818.2333965,2.986528131844469e-05
2025-09-03,2025-09-04 00:00:00,0001641172-25-026593,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP Fiber Holdings GP, LLC",0002032452,,false,false,true,P,30000.0,12.7934,383802.0,3436184.0,I,897322818.2333965,0.0004277189793920652
2025-09-03,2025-09-04 00:00:00,0001641172-25-026594,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP ControlCo, LLC",0001707921,,false,false,true,P,30000.0,12.7934,383802.0,3436184.0,I,897322818.2333965,0.0004277189793920652
2025-09-02,2025-09-04 00:00:00,0001641172-25-026593,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP Fiber Holdings GP, LLC",0002032452,,false,false,true,P,28951.0,13.0079,376591.7129,3406184.0,I,897322818.2333965,0.0004196836470083471
2025-09-02,2025-09-04 00:00:00,0001641172-25-026594,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP ControlCo, LLC",0001707921,,false,false,true,P,28951.0,13.0079,376591.7129,3406184.0,I,897322818.2333965,0.0004196836470083471
2025-08-29,2025-09-02 00:00:00,0001641172-25-026239,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP ControlCo, LLC",0001707921,,false,false,true,P,12000.0,13.2515,159018.0,3377233.0,I,897322818.2333965,0.00017721381510509956
2025-08-29,2025-09-02 00:00:00,0001641172-25-026217,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP Fiber Holdings GP, LLC",0002032452,,false,false,true,P,12000.0,13.2515,159018.0,3377233.0,I,897322818.2333965,0.00017721381510509956
2025-08-28,2025-09-02 00:00:00,0001641172-25-026217,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP Fiber Holdings GP, LLC",0002032452,,false,false,true,P,14358.0,13.2633,190434.4614,3365233.0,I,897322818.2333965,0.00021222514075248602
2025-08-28,2025-09-02 00:00:00,0001641172-25-026239,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP ControlCo, LLC",0001707921,,false,false,true,P,14358.0,13.2633,190434.4614,3365233.0,I,897322818.2333965,0.00021222514075248602
2025-08-27,2025-08-28 00:00:00,0001641172-25-025810,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP ControlCo, LLC",0001707921,,false,false,true,P,200.0,13.345,2669.0,3350875.0,I,897322818.2333965,2.974403353805926e-06
2025-08-27,2025-08-28 00:00:00,0001641172-25-025809,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP Fiber Holdings GP, LLC",0002032452,,false,false,true,P,200.0,13.345,2669.0,3350875.0,I,897322818.2333965,2.974403353805926e-06
2025-08-26,2025-08-28 00:00:00,0001641172-25-025810,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP ControlCo, LLC",0001707921,,false,false,true,P,7053.0,13.2659,93564.3927,3350675.0,I,897322818.2333965,0.00010427060451243713
2025-08-26,2025-08-28 00:00:00,0001641172-25-025809,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP Fiber Holdings GP, LLC",0002032452,,false,false,true,P,7053.0,13.2659,93564.3927,3350675.0,I,897322818.2333965,0.00010427060451243713
2025-08-25,2025-08-26 00:00:00,0001641172-25-025551,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP Fiber Holdings GP, LLC",0002032452,,false,false,true,P,1500.0,13.0989,19648.350000000002,3343622.0,I,897322818.2333965,2.1896634745879608e-05
2025-08-25,2025-08-26 00:00:00,0001641172-25-025549,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP ControlCo, LLC",0001707921,,false,false,true,P,1500.0,13.0989,19648.350000000002,3343622.0,I,897322818.2333965,2.1896634745879608e-05
2025-08-22,2025-08-26 00:00:00,0001641172-25-025551,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP Fiber Holdings GP, LLC",0002032452,,false,false,true,P,4000.0,13.09,52360.0,3342122.0,I,897322818.2333965,5.835135241861307e-05
2025-08-22,2025-08-26 00:00:00,0001641172-25-025549,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP ControlCo, LLC",0001707921,,false,false,true,P,4000.0,13.09,52360.0,3342122.0,I,897322818.2333965,5.835135241861307e-05
2025-08-21,2025-08-22 00:00:00,0001641172-25-025215,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP Fiber Holdings GP, LLC",0002032452,,false,false,true,P,9059.0,12.6562,114652.51580000001,3338122.0,I,897322818.2333965,0.0001277717600291521
2025-08-21,2025-08-22 00:00:00,0001641172-25-025217,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP ControlCo, LLC",0001707921,,false,false,true,P,9059.0,12.6562,114652.51580000001,3338122.0,I,897322818.2333965,0.0001277717600291521
2025-08-20,2025-08-22 00:00:00,0001641172-25-025217,SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,0000354963,NASDAQ,4813,Telephone Communications (No Radiotelephone),"Transportation, Communications, Electric, Gas","ECP ControlCo, LLC",0001707921,,false,false,true,P,15433.0,12.5179,193188.75069999998,3329063.0,I,897322818.2333965,0.0002152945927312315
