txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-05,2026-06-08 00:00:00,0001628280-26-041706,TWFG,"TWFG, Inc.",0002007596,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",DOAK MICHAEL,0001611672,,true,false,false,P,7865.0,19.45,152974.25,765587.0,I,258512549.74719238,0.0005917478673650404
2026-06-04,2026-06-04 00:00:00,0001628280-26-040963,TWFG,"TWFG, Inc.",0002007596,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",DOAK MICHAEL,0001611672,,true,false,false,P,11000.0,19.09,209990.0,757722.0,I,258512549.74719238,0.0008123009896631938
2026-06-03,2026-06-04 00:00:00,0001628280-26-040963,TWFG,"TWFG, Inc.",0002007596,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",DOAK MICHAEL,0001611672,,true,false,false,P,22994.0,18.62,428148.28,746722.0,I,258512549.74719238,0.0016561992074222308
2026-06-02,2026-06-02 00:00:00,0001628280-26-039848,TWFG,"TWFG, Inc.",0002007596,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",DOAK MICHAEL,0001611672,,true,false,false,P,16500.0,19.25,317625.0,723728.0,I,258512549.74719238,0.0012286637546634219
2026-06-01,2026-06-02 00:00:00,0001628280-26-039848,TWFG,"TWFG, Inc.",0002007596,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",DOAK MICHAEL,0001611672,,true,false,false,P,16500.0,19.33,318945.0,707228.0,I,258512549.74719238,0.0012337698897477373
2026-05-29,2026-05-29 00:00:00,0001628280-26-039241,TWFG,"TWFG, Inc.",0002007596,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",DOAK MICHAEL,0001611672,,true,false,false,P,11330.0,18.87,213797.1,690728.0,I,258512549.74719238,0.0008270279342688739
2026-05-28,2026-05-29 00:00:00,0001628280-26-039241,TWFG,"TWFG, Inc.",0002007596,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",DOAK MICHAEL,0001611672,,true,false,false,P,11000.0,18.87,207570.0,679398.0,I,258512549.74719238,0.0008029397420086154
2026-05-27,2026-05-27 00:00:00,0001628280-26-038557,TWFG,"TWFG, Inc.",0002007596,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",DOAK MICHAEL,0001611672,,true,false,false,P,24880.0,18.62,463265.60000000003,668398.0,I,258512549.74719238,0.001792042979936727
2026-05-26,2026-05-27 00:00:00,0001628280-26-038557,TWFG,"TWFG, Inc.",0002007596,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",DOAK MICHAEL,0001611672,,true,false,false,P,11000.0,19.23,211530.0,643518.0,I,258512549.74719238,0.000818258147261562
2026-05-22,2026-05-27 00:00:00,0001628280-26-038557,TWFG,"TWFG, Inc.",0002007596,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",DOAK MICHAEL,0001611672,,true,false,false,P,11000.0,18.89,207790.0,632518.0,I,258512549.74719238,0.0008037907645226679
2026-05-21,2026-05-22 00:00:00,0001628280-26-037841,TWFG,"TWFG, Inc.",0002007596,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",DOAK MICHAEL,0001611672,,true,false,false,P,17538.0,18.52,324803.76,621518.0,I,258512549.74719238,0.0012564332382224224
2026-05-20,2026-05-22 00:00:00,0001628280-26-037841,TWFG,"TWFG, Inc.",0002007596,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",DOAK MICHAEL,0001611672,,true,false,false,P,15745.0,18.79,295848.55,603980.0,I,258512549.74719238,0.0011444262581809651
