txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-05,2026-03-06 00:00:00,0001437749-26-007252,MIAX,"MIAMI INTERNATIONAL HOLDINGS, INC.",0001438472,NYSE,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",STAHL MURRAY,0001207097,,true,false,false,P,7200.0,43.08,310176.0,4633842.0,I,4928655850.4087715,6.293318288276807e-05
2026-03-04,2026-03-06 00:00:00,0001437749-26-007251,MIAX,"MIAMI INTERNATIONAL HOLDINGS, INC.",0001438472,NYSE,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",STAHL MURRAY,0001207097,,true,false,false,P,7200.0,43.38,312336.0,4626642.0,I,4928655850.4087715,6.337143624546144e-05
2026-03-04,2026-03-05 00:00:00,0001437749-26-007046,MIAX,"MIAMI INTERNATIONAL HOLDINGS, INC.",0001438472,NYSE,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",STAHL MURRAY,0001207097,,true,false,false,P,7200.0,43.38,312336.0,4696666.0,I,4928655850.4087715,6.337143624546144e-05
2025-12-12,2025-12-15 00:00:00,0001437749-25-037835,MIAX,"MIAMI INTERNATIONAL HOLDINGS, INC.",0001438472,NYSE,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",STAHL MURRAY,0001207097,,true,false,false,P,2439.0,41.0,99999.0,4560364.0,I,4928655850.4087715,2.0289304637025185e-05
2025-10-03,2025-10-06 00:00:00,0001437749-25-030534,MIAX,"MIAMI INTERNATIONAL HOLDINGS, INC.",0001438472,NYSE,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",STAHL MURRAY,0001207097,,true,false,false,P,2.0,41.97,83.94,4557925.0,I,4928655850.4087715,1.7031012622445165e-08
2025-09-26,2025-09-30 00:00:00,0001437749-25-030101,MIAX,"MIAMI INTERNATIONAL HOLDINGS, INC.",0001438472,NYSE,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",STAHL MURRAY,0001207097,,true,false,false,P,4.0,41.76,167.04,4557923.0,I,4928655850.4087715,3.3891593381620685e-08
2025-08-28,2025-09-30 00:00:00,0001437749-25-030088,MIAX,"MIAMI INTERNATIONAL HOLDINGS, INC.",0001438472,NYSE,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",STAHL MURRAY,0001207097,,true,false,false,P,34470.0,36.1,1244367.0,4557919.0,I,4928655850.4087715,0.0002524759361919731
2025-08-14,2025-08-18 00:00:00,0001628280-25-040653,MIAX,"MIAMI INTERNATIONAL HOLDINGS, INC.",0001438472,NYSE,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",Emmons Lance,0002080679,EVP and CFO,false,true,false,P,4.0,31.44,125.76,4.0,I,4928655850.4087715,2.5516084672369597e-08
2025-08-13,2025-08-15 00:00:00,0001628280-25-040557,MIAX,"MIAMI INTERNATIONAL HOLDINGS, INC.",0001438472,NYSE,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",Gallagher Thomas P.,0002080477,Chairman & CEO,true,true,false,P,12000.0,23.0,276000.0,12000.0,D,4928655850.4087715,5.59990407885974e-05
2025-08-13,2025-08-15 00:00:00,0001628280-25-040566,MIAX,"MIAMI INTERNATIONAL HOLDINGS, INC.",0001438472,NYSE,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",Moore Lisa,0002081042,,true,false,false,P,5500.0,23.0,126500.0,5500.0,D,4928655850.4087715,2.566622702810714e-05
