txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-11,2026-05-11 00:00:00,0001699728-26-000010,LW,"Lamb Weston Holdings, Inc.",0001679273,NYSE,2030,"Canned, Frozen & Preserved Fruit, Vegetable & Food Specialties",Manufacturing,Gray James D,0001699728,Chief Financial Officer,false,true,false,P,5000.0,40.945,204725.0,64741.0,D,5717594751.161762,3.580614032822137e-05
2026-05-11,2026-05-11 00:00:00,0001699728-26-000010,LW,"Lamb Weston Holdings, Inc.",0001679273,NYSE,2030,"Canned, Frozen & Preserved Fruit, Vegetable & Food Specialties",Manufacturing,Gray James D,0001699728,Chief Financial Officer,false,true,false,P,5000.0,40.9,204500.0,69741.0,D,5717594751.161762,3.576678811635741e-05
2026-04-27,2026-04-28 00:00:00,0001699728-26-000008,LW,"Lamb Weston Holdings, Inc.",0001679273,NYSE,2030,"Canned, Frozen & Preserved Fruit, Vegetable & Food Specialties",Manufacturing,Gray James D,0001699728,Chief Financial Officer,false,true,false,P,4556.0,43.85,199780.6,59741.0,D,5717594751.161762,3.49413711000428e-05
2026-04-15,2026-04-15 00:00:00,0000902664-26-001994,LW,"Lamb Weston Holdings, Inc.",0001679273,NYSE,2030,"Canned, Frozen & Preserved Fruit, Vegetable & Food Specialties",Manufacturing,"JANA Partners Management, LP",0001998597,,true,false,false,P,50000.0,43.19,2159500.0,5398980.0,I,5717594751.161762,0.0003776937845343463
2026-04-13,2026-04-15 00:00:00,0000902664-26-001994,LW,"Lamb Weston Holdings, Inc.",0001679273,NYSE,2030,"Canned, Frozen & Preserved Fruit, Vegetable & Food Specialties",Manufacturing,"JANA Partners Management, LP",0001998597,,true,false,false,P,100000.0,42.12,4212000.0,5348980.0,I,5717594751.161762,0.0007366734060933858
2026-04-08,2026-04-09 00:00:00,0000902664-26-001944,LW,"Lamb Weston Holdings, Inc.",0001679273,NYSE,2030,"Canned, Frozen & Preserved Fruit, Vegetable & Food Specialties",Manufacturing,"JANA Partners Management, LP",0001998597,,true,false,false,P,100000.0,41.41,4140999.9999999995,5248980.0,I,5717594751.161762,0.0007242555970163129
2026-04-07,2026-04-09 00:00:00,0000902664-26-001944,LW,"Lamb Weston Holdings, Inc.",0001679273,NYSE,2030,"Canned, Frozen & Preserved Fruit, Vegetable & Food Specialties",Manufacturing,"JANA Partners Management, LP",0001998597,,true,false,false,P,136000.0,40.89,5561040.0,5148980.0,I,5717594751.161762,0.0009726187745065437
2026-04-07,2026-04-08 00:00:00,0002039277-26-000002,LW,"Lamb Weston Holdings, Inc.",0001679273,NYSE,2030,"Canned, Frozen & Preserved Fruit, Vegetable & Food Specialties",Manufacturing,Prestage Norman,0002039277,,true,false,false,P,2500.0,41.4,103500.0,9481.7,D,5717594751.161762,1.8102017457422942e-05
2026-04-06,2026-04-07 00:00:00,0001395526-26-000003,LW,"Lamb Weston Holdings, Inc.",0001679273,NYSE,2030,"Canned, Frozen & Preserved Fruit, Vegetable & Food Specialties",Manufacturing,Bensen Peter J,0001395526,,true,false,false,P,5000.0,39.445,197225.0,17204.0,I,5717594751.161762,3.449439993275594e-05
2026-02-06,2026-02-06 00:00:00,0002107955-26-000004,LW,"Lamb Weston Holdings, Inc.",0001679273,NYSE,2030,"Canned, Frozen & Preserved Fruit, Vegetable & Food Specialties",Manufacturing,Craps Jan Eli B,0002107955,Executive Chair,true,true,false,P,50000.0,48.6466,2432330.0,300000.0,D,5717594751.161762,0.0004254114021469908
