txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-10,2026-04-15 00:00:00,0001493152-26-016937,YYAI,AIRWA INC.,0001674440,NASDAQ,7370,Services-Computer Services,Services,Zhou Hongyu,0002047853,,true,false,false,P,10000.0,0.91,9100.0,5826489.0,D,33882516.171993256,0.000268575095007906
2026-01-21,2026-01-22 00:00:00,0001493152-26-003240,YYAI,AIRWA INC.,0001674440,NASDAQ,7370,Services-Computer Services,Services,Zhou Hongyu,0002047853,,true,false,false,P,4215000.0,1.37,5774550.0,5816489.0,D,33882516.171993256,0.17042860603053886
2026-01-12,2026-01-13 00:00:00,0001493152-26-002039,YYAI,AIRWA INC.,0001674440,NASDAQ,7370,Services-Computer Services,Services,Zhou Hongyu,0002047853,,true,false,false,P,744496.0,1.41,1049739.3599999999,1601489.0,D,33882516.171993256,0.03098174157643279
2026-01-11,2026-01-13 00:00:00,0001493152-26-002039,YYAI,AIRWA INC.,0001674440,NASDAQ,7370,Services-Computer Services,Services,Zhou Hongyu,0002047853,,true,false,false,P,365426.0,1.23,449473.98,856993.0,D,33882516.171993256,0.013265661195833146
2026-01-08,2026-01-09 00:00:00,0001493152-26-001146,YYAI,AIRWA INC.,0001674440,NASDAQ,7370,Services-Computer Services,Services,Zhou Hongyu,0002047853,,true,false,false,P,139097.0,1.21,168307.37,491567.0,D,33882516.171993256,0.004967381086624262
2026-01-07,2026-01-09 00:00:00,0001493152-26-001146,YYAI,AIRWA INC.,0001674440,NASDAQ,7370,Services-Computer Services,Services,Zhou Hongyu,0002047853,,true,false,false,P,50000.0,1.03,51500.0,352470.0,D,33882516.171993256,0.001519957955264523
2026-01-06,2026-01-07 00:00:00,0001493152-26-000810,YYAI,AIRWA INC.,0001674440,NASDAQ,7370,Services-Computer Services,Services,Zhou Hongyu,0002047853,,true,false,false,P,123088.0,1.02,125549.76000000001,302470.0,D,33882516.171993256,0.0037054438154087693
2026-01-05,2026-01-07 00:00:00,0001493152-26-000810,YYAI,AIRWA INC.,0001674440,NASDAQ,7370,Services-Computer Services,Services,Zhou Hongyu,0002047853,,true,false,false,P,16830.0,1.0,16830.0,179382.0,D,33882516.171993256,0.0004967163570311052
2025-10-27,2025-10-30 00:00:00,0002091629-25-000011,YYAI,AIRWA INC.,0001674440,NASDAQ,7370,Services-Computer Services,Services,Belfiore Michael Anthony,0002091629,,false,false,false,P,6133.0,2.91,17847.030000000002,70395.0,D,33882516.171993256,0.0005267327228416428
2025-10-10,2025-10-15 00:00:00,0002091629-25-000003,YYAI,AIRWA INC.,0001674440,NASDAQ,7370,Services-Computer Services,Services,Belfiore Michael Anthony,0002091629,,false,false,true,P,20190.0,0.188,3795.72,3213095.0,D,33882516.171993256,0.00011202591863993505
2025-10-08,2025-10-15 00:00:00,0002091629-25-000003,YYAI,AIRWA INC.,0001674440,NASDAQ,7370,Services-Computer Services,Services,Belfiore Michael Anthony,0002091629,,false,false,true,P,3192905.0,0.3205,1023326.0525,3192905.0,D,33882516.171993256,0.03020218590925856
