txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-07-10,2026-07-10 00:00:00,0002093315-26-000008,GLOO,"Gloo Holdings, Inc.",0002069785,NASDAQ,7374,Services-Computer Processing & Data Preparation,Services,Beck Scott Arthur,0002093315,President and CEO,true,true,true,P,1076923.0,3.25,3499999.75,1523309.0,I,295994346.84185314,0.011824549310970508
2026-07-10,2026-07-10 00:00:00,0002093326-26-000002,GLOO,"Gloo Holdings, Inc.",0002069785,NASDAQ,7374,Services-Computer Processing & Data Preparation,Services,Green Derek Todd,0002093326,,true,false,false,P,615384.0,3.25,1999998.0,865384.0,I,295994346.84185314,0.006756879046303473
2026-07-10,2026-07-10 00:00:00,0001316331-26-000008,GLOO,"Gloo Holdings, Inc.",0002069785,NASDAQ,7374,Services-Computer Processing & Data Preparation,Services,GELSINGER PATRICK P,0001316331,See Remarks,true,true,false,P,153846.0,3.25,499999.5,315499.0,I,295994346.84185314,0.0016892197615758682
2026-07-09,2026-07-13 00:00:00,0001493152-26-033031,GLOO,"Gloo Holdings, Inc.",0002069785,NASDAQ,7374,Services-Computer Processing & Data Preparation,Services,"Grace & Mercy Foundation, Inc.",0001715783,,false,false,true,P,923076.0,3.25,2999997.0,3423076.0,D,295994346.84185314,0.01013531856945521
2026-04-20,2026-04-20 00:00:00,0002093315-26-000006,GLOO,"Gloo Holdings, Inc.",0002069785,NASDAQ,7374,Services-Computer Processing & Data Preparation,Services,Beck Scott Arthur,0002093315,President and CEO,true,true,true,P,2800.0,7.98,22344.0,446386.0,I,295994346.84185314,7.548792819323059e-05
2026-04-17,2026-04-20 00:00:00,0002093315-26-000006,GLOO,"Gloo Holdings, Inc.",0002069785,NASDAQ,7374,Services-Computer Processing & Data Preparation,Services,Beck Scott Arthur,0002093315,President and CEO,true,true,true,P,3700.0,7.97,29489.0,443586.0,I,295994346.84185314,9.962690272512428e-05
2026-04-16,2026-04-16 00:00:00,0001316331-26-000004,GLOO,"Gloo Holdings, Inc.",0002069785,NASDAQ,7374,Services-Computer Processing & Data Preparation,Services,GELSINGER PATRICK P,0001316331,See Remarks,true,true,false,P,36653.0,7.22,264634.66,161653.0,I,295994346.84185314,0.0008940530885929104
2026-04-16,2026-04-16 00:00:00,0002093315-26-000004,GLOO,"Gloo Holdings, Inc.",0002069785,NASDAQ,7374,Services-Computer Processing & Data Preparation,Services,Beck Scott Arthur,0002093315,President and CEO,true,true,true,P,27386.0,7.23,198000.78,439886.0,I,295994346.84185314,0.0006689343297012016
2025-11-20,2025-11-20 00:00:00,0002093315-25-000005,GLOO,"Gloo Holdings, Inc.",0002069785,NASDAQ,7374,Services-Computer Processing & Data Preparation,Services,Beck Scott Arthur,0002093315,President and CEO,true,true,true,P,412500.0,8.0,3300000.0,412500.0,I,295994346.84185314,0.011148861575262306
2025-11-20,2025-11-20 00:00:00,0002093326-25-000005,GLOO,"Gloo Holdings, Inc.",0002069785,NASDAQ,7374,Services-Computer Processing & Data Preparation,Services,Green Derek Todd,0002093326,,true,false,false,P,250000.0,8.0,2000000.0,250000.0,I,295994346.84185314,0.006756885803189276
2025-11-20,2025-11-20 00:00:00,0001062103-25-000006,GLOO,"Gloo Holdings, Inc.",0002069785,NASDAQ,7374,Services-Computer Processing & Data Preparation,Services,FURST JACK D,0001062103,,true,false,false,P,250000.0,8.0,2000000.0,250000.0,D,295994346.84185314,0.006756885803189276
2025-11-20,2025-11-20 00:00:00,0001316331-25-000008,GLOO,"Gloo Holdings, Inc.",0002069785,NASDAQ,7374,Services-Computer Processing & Data Preparation,Services,GELSINGER PATRICK P,0001316331,See Remarks,true,true,false,P,125000.0,8.0,1000000.0,125000.0,I,295994346.84185314,0.003378442901594638
2025-11-20,2025-11-20 00:00:00,0002092401-25-000005,GLOO,"Gloo Holdings, Inc.",0002069785,NASDAQ,7374,Services-Computer Processing & Data Preparation,Services,Gotschall Matthew,0002092401,See Remarks,false,true,false,P,250.0,8.0,2000.0,250.0,D,295994346.84185314,6.756885803189276e-06
