txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-12-15,2025-12-17 00:00:00,0001245958-25-000007,KNSL,"Kinsale Capital Group, Inc.",0001669162,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",SHARE GREGORY M,0001245958,,true,false,false,P,599.0,391.1,234268.90000000002,31131.0,I,7031161515.918579,3.3318662851026e-05
2025-12-15,2025-12-17 00:00:00,0001245958-25-000007,KNSL,"Kinsale Capital Group, Inc.",0001669162,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",SHARE GREGORY M,0001245958,,true,false,false,P,532.0,390.17,207570.44,30532.0,I,7031161515.918579,2.9521500754897987e-05
2025-12-15,2025-12-17 00:00:00,0001245958-25-000007,KNSL,"Kinsale Capital Group, Inc.",0001669162,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",SHARE GREGORY M,0001245958,,true,false,false,P,322.0,391.89,126188.58,31453.0,I,7031161515.918579,1.7947046119522148e-05
2025-12-15,2025-12-17 00:00:00,0001245958-25-000007,KNSL,"Kinsale Capital Group, Inc.",0001669162,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",SHARE GREGORY M,0001245958,,true,false,false,P,280.0,394.18,110370.40000000001,31788.0,I,7031161515.918579,1.569732109696541e-05
2025-12-15,2025-12-17 00:00:00,0001245958-25-000007,KNSL,"Kinsale Capital Group, Inc.",0001669162,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",SHARE GREGORY M,0001245958,,true,false,false,P,202.0,391.1,79002.20000000001,382.0,I,7031161515.918579,1.1236009842916948e-05
2025-12-15,2025-12-17 00:00:00,0001245958-25-000007,KNSL,"Kinsale Capital Group, Inc.",0001669162,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",SHARE GREGORY M,0001245958,,true,false,false,P,180.0,390.17,70230.6,180.0,I,7031161515.918579,9.988477699025635e-06
2025-12-15,2025-12-17 00:00:00,0001245958-25-000007,KNSL,"Kinsale Capital Group, Inc.",0001669162,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",SHARE GREGORY M,0001245958,,true,false,false,P,118.0,395.44,46661.92,31906.0,I,7031161515.918579,6.636445471257802e-06
2025-12-15,2025-12-17 00:00:00,0001245958-25-000007,KNSL,"Kinsale Capital Group, Inc.",0001669162,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",SHARE GREGORY M,0001245958,,true,false,false,P,108.0,391.89,42324.119999999995,490.0,I,7031161515.918579,6.019506151889416e-06
2025-12-15,2025-12-17 00:00:00,0001245958-25-000007,KNSL,"Kinsale Capital Group, Inc.",0001669162,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",SHARE GREGORY M,0001245958,,true,false,false,P,95.0,394.19,37448.05,603.0,I,7031161515.918579,5.326011913567547e-06
2025-12-15,2025-12-17 00:00:00,0001245958-25-000007,KNSL,"Kinsale Capital Group, Inc.",0001669162,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",SHARE GREGORY M,0001245958,,true,false,false,P,94.0,395.93,37217.42,32000.0,I,7031161515.918579,5.293210789673883e-06
2025-12-15,2025-12-17 00:00:00,0001245958-25-000007,KNSL,"Kinsale Capital Group, Inc.",0001669162,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",SHARE GREGORY M,0001245958,,true,false,false,P,55.0,393.04,21617.2,31508.0,I,7031161515.918579,3.074484912778432e-06
2025-12-15,2025-12-17 00:00:00,0001245958-25-000007,KNSL,"Kinsale Capital Group, Inc.",0001669162,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",SHARE GREGORY M,0001245958,,true,false,false,P,41.0,395.41,16211.810000000001,644.0,I,7031161515.918579,2.305708660410715e-06
2025-12-15,2025-12-17 00:00:00,0001245958-25-000007,KNSL,"Kinsale Capital Group, Inc.",0001669162,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",SHARE GREGORY M,0001245958,,true,false,false,P,31.0,395.93,12273.83,675.0,I,7031161515.918579,1.7456333455307487e-06
2025-12-15,2025-12-17 00:00:00,0001245958-25-000007,KNSL,"Kinsale Capital Group, Inc.",0001669162,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",SHARE GREGORY M,0001245958,,true,false,false,P,18.0,393.03,7074.539999999999,508.0,I,7031161515.918579,1.0061694620416856e-06
