txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-16,2026-03-16 00:00:00,0001775557-26-000002,CPSH,CPS TECHNOLOGIES CORP/DE/,0000814676,NASDAQ,3260,Pottery & Related Products,Manufacturing,Cavoli Ivo James,0002049433,,true,false,false,P,2315.0,3.855,8924.325,53000.0,D,81931685.08455563,0.00010892397722309587
2025-11-13,2025-11-13 00:00:00,0001775557-25-000009,CPSH,CPS TECHNOLOGIES CORP/DE/,0000814676,NASDAQ,3260,Pottery & Related Products,Manufacturing,Cavoli Ivo James,0002049433,,true,false,false,P,1500.0,3.4177,5126.55,50685.0,D,81931685.08455563,6.257103091080413e-05
2025-10-08,2025-10-09 00:00:00,0001775557-25-000006,CPSH,CPS TECHNOLOGIES CORP/DE/,0000814676,NASDAQ,3260,Pottery & Related Products,Manufacturing,Cavoli Ivo James,0002049433,,true,false,false,P,25000.0,3.0,75000.0,49185.0,D,81931685.08455563,0.0009153967713784729
2025-10-08,2025-10-09 00:00:00,0001775557-25-000007,CPSH,CPS TECHNOLOGIES CORP/DE/,0000814676,NASDAQ,3260,Pottery & Related Products,Manufacturing,HUGHES FRANCIS J JR,0001145496,,true,false,false,P,18333.0,3.0,54999.0,438009.0,D,81931685.08455563,0.0006712787603872617
2025-10-08,2025-10-09 00:00:00,0001775557-25-000005,CPSH,CPS TECHNOLOGIES CORP/DE/,0000814676,NASDAQ,3260,Pottery & Related Products,Manufacturing,Mackey Brian T,0001988312,President & CEO,false,true,false,P,16500.0,3.0,49500.0,36500.0,D,81931685.08455563,0.000604161869109792
2025-10-08,2025-10-09 00:00:00,0001775557-25-000003,CPSH,CPS TECHNOLOGIES CORP/DE/,0000814676,NASDAQ,3260,Pottery & Related Products,Manufacturing,Griffith Charles Kellogg Jr,0001775557,CFO,false,true,false,P,4000.0,3.0,12000.0,41792.0,D,81931685.08455563,0.00014646348342055564
2025-10-08,2025-10-09 00:00:00,0001775557-25-000008,CPSH,CPS TECHNOLOGIES CORP/DE/,0000814676,NASDAQ,3260,Pottery & Related Products,Manufacturing,Snow Daniel C,0001437802,,true,false,false,P,3333.0,3.0,9999.0,11941.0,D,81931685.08455563,0.000122040697560178
2025-08-20,2025-08-21 00:00:00,0000814676-25-000016,CPSH,CPS TECHNOLOGIES CORP/DE/,0000814676,NASDAQ,3260,Pottery & Related Products,Manufacturing,Cavoli Ivo James,0002049433,,true,false,false,P,1500.0,3.0338,4550.7,24185.0,D,81931685.08455563,5.554261450016021e-05
2025-08-11,2025-08-11 00:00:00,0000814676-25-000015,CPSH,CPS TECHNOLOGIES CORP/DE/,0000814676,NASDAQ,3260,Pottery & Related Products,Manufacturing,Cavoli Ivo James,0002049433,,true,false,false,P,2767.0,2.88,7968.96,22685.0,D,81931685.08455563,9.72634700699226e-05
2025-08-08,2025-08-11 00:00:00,0000814676-25-000015,CPSH,CPS TECHNOLOGIES CORP/DE/,0000814676,NASDAQ,3260,Pottery & Related Products,Manufacturing,Cavoli Ivo James,0002049433,,true,false,false,P,5725.0,2.724,15594.900000000001,18985.0,I,81931685.08455563,0.00019034028146626864
2025-08-08,2025-08-11 00:00:00,0000814676-25-000015,CPSH,CPS TECHNOLOGIES CORP/DE/,0000814676,NASDAQ,3260,Pottery & Related Products,Manufacturing,Cavoli Ivo James,0002049433,,true,false,false,P,700.0,2.9,2030.0,19685.0,I,81931685.08455563,2.4776739278644e-05
2025-08-08,2025-08-11 00:00:00,0000814676-25-000015,CPSH,CPS TECHNOLOGIES CORP/DE/,0000814676,NASDAQ,3260,Pottery & Related Products,Manufacturing,Cavoli Ivo James,0002049433,,true,false,false,P,233.0,2.85,664.0500000000001,19918.0,D,81931685.08455563,8.104923013785e-06
2025-06-18,2025-06-18 00:00:00,0000814676-25-000014,CPSH,CPS TECHNOLOGIES CORP/DE/,0000814676,NASDAQ,3260,Pottery & Related Products,Manufacturing,Cavoli Ivo James,0002049433,,true,false,false,P,6260.0,2.5388,15892.888,13260.0,D,81931685.08455563,0.000193977311507729
