txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-12-24,2025-12-30 00:00:00,0001463249-25-000005,AROW,ARROW FINANCIAL CORP,0000717538,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",DeMarco David S.,0001463249,President & CEO,false,true,false,P,3035.0,31.78,96452.3,3035.0,I,581656155.9108467,0.00016582356950896557
2025-11-10,2025-11-12 00:00:00,0002045771-25-000013,AROW,ARROW FINANCIAL CORP,0000717538,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",White Daniel James,0002045771,,true,false,false,P,1644.0,30.14,49550.16,6890.0,D,581656155.9108467,8.5188060843965e-05
2025-11-04,2025-11-05 00:00:00,0001577827-25-000011,AROW,ARROW FINANCIAL CORP,0000717538,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Ivanov Penko Krassimir,0001577827,"SEVP, Treasurer and CFO",false,true,false,P,1617.0,29.82,48218.94,26391.0,D,581656155.9108467,8.289938911501997e-05
2025-11-04,2025-11-05 00:00:00,0001577827-25-000011,AROW,ARROW FINANCIAL CORP,0000717538,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Ivanov Penko Krassimir,0001577827,"SEVP, Treasurer and CFO",false,true,false,P,3.0,29.67,89.01,26394.0,D,581656155.9108467,1.530285532018731e-07
2025-09-10,2025-09-12 00:00:00,0001577827-25-000009,AROW,ARROW FINANCIAL CORP,0000717538,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Ivanov Penko Krassimir,0001577827,"SEVP, Treasurer and CFO",false,true,false,P,4900.0,29.1,142590.0,24644.0,D,581656155.9108467,0.00024514483092972795
2025-09-10,2025-09-12 00:00:00,0001577827-25-000009,AROW,ARROW FINANCIAL CORP,0000717538,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Ivanov Penko Krassimir,0001577827,"SEVP, Treasurer and CFO",false,true,false,P,100.0,29.09,2909.0,24744.0,D,581656155.9108467,5.001236504485438e-06
2025-08-27,2025-08-28 00:00:00,0001577827-25-000007,AROW,ARROW FINANCIAL CORP,0000717538,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Ivanov Penko Krassimir,0001577827,"SEVP, Treasurer and CFO",false,true,false,P,6997.0,29.5,206411.5,19715.0,D,581656155.9108467,0.0003548685901497408
2025-08-27,2025-08-28 00:00:00,0001577827-25-000007,AROW,ARROW FINANCIAL CORP,0000717538,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Ivanov Penko Krassimir,0001577827,"SEVP, Treasurer and CFO",false,true,false,P,3925.0,29.38,115316.5,12712.0,D,581656155.9108467,0.00019825544495341872
2025-08-26,2025-08-28 00:00:00,0001577827-25-000007,AROW,ARROW FINANCIAL CORP,0000717538,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Ivanov Penko Krassimir,0001577827,"SEVP, Treasurer and CFO",false,true,false,P,1078.0,29.46,31757.88,8787.0,D,581656155.9108467,5.459906110727673e-05
2025-08-08,2025-10-16 00:00:00,0002043837-25-000015,AROW,ARROW FINANCIAL CORP,0000717538,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Duffy Kristine D,0002043837,,true,false,false,P,210.0,26.53,5571.3,1000.0,I,581656155.9108467,9.578339270347102e-06
2025-08-06,2025-08-08 00:00:00,0001577827-25-000004,AROW,ARROW FINANCIAL CORP,0000717538,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Ivanov Penko Krassimir,0001577827,"SEVP, Treasurer and CFO",false,true,false,P,1425.0,26.5,37762.5,7709.0,D,581656155.9108467,6.492237659011047e-05
