txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-31,2026-09-02 00:00:00,0001528153-26-000013,ADC,AGREE REALTY CORP,0000917251,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RAKOLTA JOHN JR,0001528153,,true,false,false,P,10000.0,72.42,724200.0,632197.004,D,9033668943.682022,8.016676330678376e-05
2026-08-28,2026-08-31 00:00:00,0001528153-26-000011,ADC,AGREE REALTY CORP,0000917251,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RAKOLTA JOHN JR,0001528153,,true,false,false,P,136.0,73.52,9998.72,622197.004,D,9033668943.682022,1.106828251326712e-06
2026-08-27,2026-08-31 00:00:00,0001528153-26-000011,ADC,AGREE REALTY CORP,0000917251,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RAKOLTA JOHN JR,0001528153,,true,false,false,P,20000.0,73.23,1464600.0,622061.004,D,9033668943.682022,0.00016212681792200428
2026-06-04,2026-06-08 00:00:00,0001275238-26-000007,ADC,AGREE REALTY CORP,0000917251,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",AGREE RICHARD,0001275238,EXECUTIVE CHAIRMAN OF BOARD,true,true,false,P,5000.0,71.41,357050.0,90512.0,I,9033668943.682022,3.9524361831934745e-05
2026-05-15,2026-05-19 00:00:00,0001528153-26-000007,ADC,AGREE REALTY CORP,0000917251,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RAKOLTA JOHN JR,0001528153,,true,false,false,P,20000.0,74.57,1491399.9999999998,595797.76,D,9033668943.682022,0.00016509349737052926
2026-05-14,2026-05-18 00:00:00,0001348490-26-000004,ADC,AGREE REALTY CORP,0000917251,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Agree Joey,0001348490,PRESIDENT & CEO,true,true,false,P,13295.0,75.41,1002575.95,675105.0,D,9033668943.682022,0.00011098214427053835
2026-05-14,2026-05-18 00:00:00,0001748303-26-000006,ADC,AGREE REALTY CORP,0000917251,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Lehmkuhl Greg,0001748303,,true,false,false,P,750.0,75.09,56317.5,34464.748,D,9033668943.682022,6.234177979190548e-06
2026-04-01,2026-04-03 00:00:00,0001528153-26-000002,ADC,AGREE REALTY CORP,0000917251,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RAKOLTA JOHN JR,0001528153,,true,false,false,P,146.0,75.69,11050.74,146.0,I,9033668943.682022,1.2232837033206402e-06
2026-01-09,2026-01-12 00:00:00,0001275238-26-000002,ADC,AGREE REALTY CORP,0000917251,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",AGREE RICHARD,0001275238,EXECUTIVE CHAIRMAN OF BOARD,true,true,false,P,24000.0,70.67,1696080.0,159855.0,I,9033668943.682022,0.00018775095817366724
2026-01-09,2026-01-13 00:00:00,0001878983-26-000005,ADC,AGREE REALTY CORP,0000917251,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Coughenour Peter,0001878983,CHIEF FINANCIAL OFFICER,false,true,false,P,500.0,69.8,34900.0,18544.0,D,9033668943.682022,3.863325102743377e-06
2025-12-24,2025-12-29 00:00:00,0001528153-25-000006,ADC,AGREE REALTY CORP,0000917251,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RAKOLTA JOHN JR,0001528153,,true,false,false,P,15000.0,72.18,1082700.0,562605.801,D,9033668943.682022,0.00011985163578052304
2025-10-07,2025-10-09 00:00:00,0001528153-25-000004,ADC,AGREE REALTY CORP,0000917251,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RAKOLTA JOHN JR,0001528153,,true,false,false,P,25154.0,70.41,1771093.14,553700.498,D,9033668943.682022,0.00019605468730826903
2025-10-03,2025-10-06 00:00:00,0001747962-25-000003,ADC,AGREE REALTY CORP,0000917251,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Erlich Craig,0001747962,CHIEF GROWTH OFFICER,false,true,false,P,360.0,70.845,25504.2,52846.0,D,9033668943.682022,2.8232382832489294e-06
2025-10-02,2025-10-03 00:00:00,0001348490-25-000004,ADC,AGREE REALTY CORP,0000917251,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Agree Joey,0001348490,PRESIDENT & CEO,true,true,false,P,3528.0,70.63,249182.63999999998,638688.0,D,9033668943.682022,2.75837692916867e-05
2025-09-05,2025-09-08 00:00:00,0001415889-25-023828,ADC,AGREE REALTY CORP,0000917251,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Lehmkuhl Greg,0001748303,,true,false,false,P,750.0,72.84,54630.0,27683.644,D,9033668943.682022,6.047376801228386e-06
