txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-04,2026-05-05 00:00:00,0001422493-26-000010,MPB,MID PENN BANCORP INC,0000879635,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",De Soto Matthew G,0001422493,,true,false,false,P,525.0,32.765,17201.625,118696.002,D,828468988.25,2.0763148945786746e-05
2026-05-04,2026-05-05 00:00:00,0001422493-26-000010,MPB,MID PENN BANCORP INC,0000879635,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",De Soto Matthew G,0001422493,,true,false,false,P,500.0,32.7721,16386.05,118171.002,D,828468988.25,1.977871257995154e-05
2026-05-04,2026-05-05 00:00:00,0001422493-26-000010,MPB,MID PENN BANCORP INC,0000879635,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",De Soto Matthew G,0001422493,,true,false,false,P,500.0,32.72,16360.0,117671.002,D,828468988.25,1.974726903726079e-05
2026-03-31,2026-04-01 00:00:00,0001422493-26-000006,MPB,MID PENN BANCORP INC,0000879635,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",De Soto Matthew G,0001422493,,true,false,false,P,311.0,32.16,10001.759999999998,115226.002,D,828468988.25,1.2072582247317448e-05
2026-03-31,2026-04-01 00:00:00,0001749416-26-000004,MPB,MID PENN BANCORP INC,0000879635,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Evans Albert J.,0001749416,,true,false,false,P,311.0,32.16,10001.759999999998,39593.51,D,828468988.25,1.2072582247317448e-05
2026-03-31,2026-04-01 00:00:00,0001749279-26-000004,MPB,MID PENN BANCORP INC,0000879635,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Frank Joel L.,0001749279,,true,false,false,P,78.0,32.16,2508.4799999999996,9408.499,D,828468988.25,3.0278502099381385e-06
2026-03-31,2026-04-01 00:00:00,0001769745-26-000004,MPB,MID PENN BANCORP INC,0000879635,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Brumbaugh Kimberly J,0001769745,,true,false,false,P,78.0,32.16,2508.4799999999996,10561.753,D,828468988.25,3.0278502099381385e-06
2026-03-31,2026-04-01 00:00:00,0001278504-26-000004,MPB,MID PENN BANCORP INC,0000879635,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",MOWERY THEODORE W,0001278504,,true,false,false,P,62.0,32.16,1993.9199999999998,40384.964,D,828468988.25,2.406752730976469e-06
2026-03-31,2026-04-01 00:00:00,0001511696-26-000004,MPB,MID PENN BANCORP INC,0000879635,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Abel Robert A,0001511696,,true,false,false,P,15.0,32.16,482.4,7734.078,D,828468988.25,5.822788865265651e-07
2026-03-12,2026-03-13 00:00:00,0001422493-26-000004,MPB,MID PENN BANCORP INC,0000879635,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",De Soto Matthew G,0001422493,,true,false,false,P,600.0,30.835,18501.0,3927.0,I,828468988.25,2.233155406224706e-05
2026-03-12,2026-03-13 00:00:00,0001422493-26-000004,MPB,MID PENN BANCORP INC,0000879635,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",De Soto Matthew G,0001422493,,true,false,false,P,500.0,30.91,15455.0,113797.002,D,828468988.25,1.8654892602131146e-05
2026-03-12,2026-03-13 00:00:00,0001422493-26-000004,MPB,MID PENN BANCORP INC,0000879635,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",De Soto Matthew G,0001422493,,true,false,false,P,500.0,30.8897,15444.85,114797.002,D,828468988.25,1.864264108741671e-05
2026-03-12,2026-03-13 00:00:00,0001422493-26-000004,MPB,MID PENN BANCORP INC,0000879635,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",De Soto Matthew G,0001422493,,true,false,false,P,500.0,30.825,15412.5,114297.002,D,828468988.25,1.8603593156282515e-05
