txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-23,2026-03-25 00:00:00,0001067429-26-000005,NEXT,NextDecade Corp,0001612720,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas",Beall Pamela K.M.,0001067429,,true,false,false,P,71500.0,7.07,505505.0,71500.0,I,2033656672.5804105,0.0002485694890468354
2025-12-12,2025-12-15 00:00:00,0001193125-25-319616,NEXT,NextDecade Corp,0001612720,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas","Hanwha Aerospace Co., Ltd.",0002024244,,false,false,true,P,800000.0,5.5391,4431280.0,26420222.0,D,2033656672.5804105,0.0021789715342547763
2025-12-11,2025-12-15 00:00:00,0001193125-25-319616,NEXT,NextDecade Corp,0001612720,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas","Hanwha Aerospace Co., Ltd.",0002024244,,false,false,true,P,851971.0,5.8313,4968098.4923,25620222.0,D,2033656672.5804105,0.002442938652961621
2025-12-10,2025-12-10 00:00:00,0001193125-25-314661,NEXT,NextDecade Corp,0001612720,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas","Hanwha Aerospace Co., Ltd.",0002024244,,false,false,true,P,600000.0,6.052,3631199.9999999995,24768251.0,D,2033656672.5804105,0.0017855521283209235
2025-12-09,2025-12-10 00:00:00,0001193125-25-314661,NEXT,NextDecade Corp,0001612720,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas","Hanwha Aerospace Co., Ltd.",0002024244,,false,false,true,P,293131.0,6.3597,1864225.2207,24168251.0,D,2033656672.5804105,0.0009166863049378797
2025-12-08,2025-12-10 00:00:00,0001193125-25-314661,NEXT,NextDecade Corp,0001612720,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas","Hanwha Aerospace Co., Ltd.",0002024244,,false,false,true,P,39467.0,6.2581,246988.4327,23875120.0,D,2033656672.5804105,0.000121450408040905
2025-12-05,2025-12-05 00:00:00,0001193125-25-310040,NEXT,NextDecade Corp,0001612720,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas","Hanwha Aerospace Co., Ltd.",0002024244,,false,false,true,P,151058.0,6.2136,938613.9887999999,23835653.0,D,2033656672.5804105,0.00046154004333929047
2025-12-04,2025-12-05 00:00:00,0001193125-25-310040,NEXT,NextDecade Corp,0001612720,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas","Hanwha Aerospace Co., Ltd.",0002024244,,false,false,true,P,243959.0,6.1943,1511155.2337,23684595.0,D,2033656672.5804105,0.0007430729356015471
2025-12-03,2025-12-05 00:00:00,0001193125-25-310040,NEXT,NextDecade Corp,0001612720,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas","Hanwha Aerospace Co., Ltd.",0002024244,,false,false,true,P,241946.0,6.0373,1460700.5858,23440636.0,D,2033656672.5804105,0.0007182631195788748
2025-12-02,2025-12-02 00:00:00,0001193125-25-305656,NEXT,NextDecade Corp,0001612720,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas","Hanwha Aerospace Co., Ltd.",0002024244,,false,false,true,P,310964.0,5.9315,1844482.966,23198690.0,D,2033656672.5804105,0.0009069785430692306
