txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-04,2026-03-05 00:00:00,0001140361-26-008123,KKR,KKR & Co. Inc.,0001404912,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",BARAKETT TIMOTHY R,0001039546,,true,false,false,P,50000.0,94.47,4723500.0,285000.0,I,94907015107.03311,4.976976669925808e-05
2026-03-02,2026-03-03 00:00:00,0001140361-26-007577,KKR,KKR & Co. Inc.,0001404912,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",Dillon Mary N,0001340358,,true,false,false,P,22225.0,90.96,2021585.9999999998,49610.0,I,94907015107.03311,2.1300701510000283e-05
2026-02-27,2026-03-03 00:00:00,0001140361-26-007578,KKR,KKR & Co. Inc.,0001404912,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",BAE JOSEPH Y,0001208917,Co-Chief Executive Officer,true,true,false,P,50000.0,88.56,4428000.0,559257.0,I,94907015107.03311,4.665619285367096e-05
2026-02-27,2026-03-03 00:00:00,0001140361-26-007579,KKR,KKR & Co. Inc.,0001404912,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",NUTTALL SCOTT C,0001207606,Co-Chief Executive Officer,true,true,false,P,50000.0,87.81,4390500.0,14406748.0,D,94907015107.03311,4.626106926920559e-05
2026-02-17,2026-02-18 00:00:00,0001140361-26-006054,KKR,KKR & Co. Inc.,0001404912,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",NUTTALL SCOTT C,0001207606,Co-Chief Executive Officer,true,true,false,P,90127.0,102.87,9271364.49,15503636.0,D,94907015107.03311,9.76889272046334e-05
2026-02-17,2026-02-18 00:00:00,0001140361-26-006056,KKR,KKR & Co. Inc.,0001404912,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",BAE JOSEPH Y,0001208917,Co-Chief Executive Officer,true,true,false,P,63467.0,102.49,6504732.83,479175.0,I,94907015107.03311,6.853795604744465e-05
2026-02-17,2026-02-18 00:00:00,0001140361-26-006058,KKR,KKR & Co. Inc.,0001404912,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",Cohler Matt,0001572685,,true,false,false,P,43872.0,102.9,4514428.8,45477.0,D,94907015107.03311,4.756686104719204e-05
2026-02-17,2026-02-18 00:00:00,0001140361-26-006054,KKR,KKR & Co. Inc.,0001404912,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",NUTTALL SCOTT C,0001207606,Co-Chief Executive Officer,true,true,false,P,34761.0,102.13,3550140.9299999997,15413509.0,D,94907015107.03311,3.740651758983531e-05
2026-02-17,2026-02-18 00:00:00,0001140361-26-006056,KKR,KKR & Co. Inc.,0001404912,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",BAE JOSEPH Y,0001208917,Co-Chief Executive Officer,true,true,false,P,30082.0,103.17,3103559.94,509257.0,I,94907015107.03311,3.270105941589148e-05
2026-02-17,2026-02-18 00:00:00,0001140361-26-006056,KKR,KKR & Co. Inc.,0001404912,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",BAE JOSEPH Y,0001208917,Co-Chief Executive Officer,true,true,false,P,22801.0,100.39,2288992.39,407058.0,I,94907015107.03311,2.4118263412020147e-05
2026-02-17,2026-02-18 00:00:00,0001140361-26-006056,KKR,KKR & Co. Inc.,0001404912,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",BAE JOSEPH Y,0001208917,Co-Chief Executive Officer,true,true,false,P,8650.0,101.3,876245.0,415708.0,I,94907015107.03311,9.23266840719623e-06
2026-02-17,2026-02-18 00:00:00,0001140361-26-006054,KKR,KKR & Co. Inc.,0001404912,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",NUTTALL SCOTT C,0001207606,Co-Chief Executive Officer,true,true,false,P,112.0,103.41,11581.92,15503748.0,D,94907015107.03311,1.2203439321043106e-07
2026-02-09,2026-02-11 00:00:00,0001140361-26-004845,KKR,KKR & Co. Inc.,0001404912,NYSE,6282,Investment Advice,"Finance, Insurance, Real Estate",BARAKETT TIMOTHY R,0001039546,,true,false,false,P,50000.0,104.93,5246500.0,235000.0,I,94907015107.03311,5.528042362393512e-05
