txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-02-25,2026-02-27 00:00:00,0000937797-26-000004,BATRA,"Atlanta Braves Holdings, Inc.",0001958140,NASDAQ,7900,Services-Amusement & Recreation Services,Services,MALONE JOHN C,0000937797,,false,false,true,P,10868.0,58.0,630344.0,14537.0,D,3433486815.442444,0.00018358713281349035
2026-02-05,2026-02-06 00:00:00,0000937797-26-000002,BATRA,"Atlanta Braves Holdings, Inc.",0001958140,NASDAQ,7900,Services-Amusement & Recreation Services,Services,MALONE JOHN C,0000937797,,false,false,true,P,35000.0,44.23,1548050.0,521862.0,D,3433486815.442444,0.0004508681941161076
2026-02-04,2026-02-06 00:00:00,0000937797-26-000002,BATRA,"Atlanta Braves Holdings, Inc.",0001958140,NASDAQ,7900,Services-Amusement & Recreation Services,Services,MALONE JOHN C,0000937797,,false,false,true,P,3669.0,48.17,176735.73,3669.0,D,3433486815.442444,5.147412513865314e-05
2025-11-19,2025-11-21 00:00:00,0001104659-25-114979,BATRA,"Atlanta Braves Holdings, Inc.",0001958140,NASDAQ,7900,Services-Amusement & Recreation Services,Services,MALONE JOHN C,0000937797,,false,false,true,P,2259.0,42.0,94878.0,486862.0,D,3433486815.442444,2.7633133633505416e-05
2025-11-18,2025-11-19 00:00:00,0001104659-25-114127,BATRA,"Atlanta Braves Holdings, Inc.",0001958140,NASDAQ,7900,Services-Amusement & Recreation Services,Services,MALONE JOHN C,0000937797,,false,false,true,P,4631.0,41.99,194455.69,484603.0,D,3433486815.442444,5.6635047825265106e-05
2025-11-17,2025-11-19 00:00:00,0001104659-25-114127,BATRA,"Atlanta Braves Holdings, Inc.",0001958140,NASDAQ,7900,Services-Amusement & Recreation Services,Services,MALONE JOHN C,0000937797,,false,false,true,P,28567.0,41.97,1198956.99,479972.0,D,3433486815.442444,0.00034919516353101263
2025-11-14,2025-11-17 00:00:00,0001104659-25-113172,BATRA,"Atlanta Braves Holdings, Inc.",0001958140,NASDAQ,7900,Services-Amusement & Recreation Services,Services,MALONE JOHN C,0000937797,,false,false,true,P,18787.0,41.97,788490.39,451405.0,D,3433486815.442444,0.0002296471291090116
2025-11-13,2025-11-17 00:00:00,0001104659-25-113172,BATRA,"Atlanta Braves Holdings, Inc.",0001958140,NASDAQ,7900,Services-Amusement & Recreation Services,Services,MALONE JOHN C,0000937797,,false,false,true,P,1600.0,41.993,67188.8,432618.0,D,3433486815.442444,1.9568678609107157e-05
2025-11-10,2025-11-13 00:00:00,0001104659-25-111266,BATRA,"Atlanta Braves Holdings, Inc.",0001958140,NASDAQ,7900,Services-Amusement & Recreation Services,Services,MALONE JOHN C,0000937797,,false,false,true,P,3840.0,41.988,161233.91999999998,431018.0,D,3433486815.442444,4.695923667882883e-05
2025-11-07,2025-11-10 00:00:00,0001104659-25-109118,BATRA,"Atlanta Braves Holdings, Inc.",0001958140,NASDAQ,7900,Services-Amusement & Recreation Services,Services,MALONE JOHN C,0000937797,,false,false,true,P,23200.0,41.958,973425.6,427178.0,D,3433486815.442444,0.00028350934554981336
2025-11-06,2025-11-10 00:00:00,0001104659-25-109118,BATRA,"Atlanta Braves Holdings, Inc.",0001958140,NASDAQ,7900,Services-Amusement & Recreation Services,Services,MALONE JOHN C,0000937797,,false,false,true,P,31431.0,41.95,1318530.4500000002,403978.0,D,3433486815.442444,0.000384020828060204
2025-10-27,2025-10-29 00:00:00,0001104659-25-103709,BATRA,"Atlanta Braves Holdings, Inc.",0001958140,NASDAQ,7900,Services-Amusement & Recreation Services,Services,MALONE JOHN C,0000937797,,false,false,true,P,840.0,41.994,35274.96,372547.0,D,3433486815.442444,1.0273800919038747e-05
2025-05-28,2025-05-29 00:00:00,0000807249-25-000074,BATRA,"Atlanta Braves Holdings, Inc.",0001958140,NASDAQ,7900,Services-Amusement & Recreation Services,Services,GABELLI MARIO J,0001185533,,false,false,true,P,1549.0,43.45,67304.05,27152.0,D,3433486815.442444,1.9602245069733027e-05
2025-05-23,2025-05-29 00:00:00,0000807249-25-000074,BATRA,"Atlanta Braves Holdings, Inc.",0001958140,NASDAQ,7900,Services-Amusement & Recreation Services,Services,GABELLI MARIO J,0001185533,,false,false,true,P,451.0,43.45,19595.95,25603.0,D,3433486815.442444,5.707303115848674e-06
