txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-09,2026-03-09 00:00:00,0002064783-26-000002,COSO,"CoastalSouth Bancshares, Inc.",0001297107,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Stone Stephen R.,0002064783,PRESIDENT AND CEO,true,true,false,P,200.0,24.15,4830.0,120385.0,D,307720815.36985016,1.5696045762113347e-05
2026-02-10,2026-02-12 00:00:00,0001193125-26-048659,COSO,"CoastalSouth Bancshares, Inc.",0001297107,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",HIGH MICHAEL B,0001203411,,true,false,false,P,1500.0,25.14,37710.0,1500.0,I,307720815.36985016,0.00012254614610544395
2025-07-02,2025-07-07 00:00:00,0000950170-25-094281,COSO,"CoastalSouth Bancshares, Inc.",0001297107,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Topper Joseph V. Jr.,0001556587,,true,false,false,P,100000.0,21.5,2150000.0,107900.0,D,307720815.36985016,0.006986852668435547
2025-07-02,2025-07-07 00:00:00,0000950170-25-094276,COSO,"CoastalSouth Bancshares, Inc.",0001297107,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Richardson James N. Jr.,0002067194,,true,false,false,P,20000.0,21.5,430000.0,128891.0,D,307720815.36985016,0.0013973705336871095
2025-07-02,2025-07-07 00:00:00,0000950170-25-094291,COSO,"CoastalSouth Bancshares, Inc.",0001297107,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Gutin Boris,0001342162,,true,false,false,P,11000.0,21.5,236500.0,18284.0,D,307720815.36985016,0.0007685537935279102
2025-07-02,2025-07-07 00:00:00,0000950170-25-094299,COSO,"CoastalSouth Bancshares, Inc.",0001297107,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",MACLEOD JAMES S,0001041973,,true,false,false,P,10000.0,21.5,215000.0,10000.0,D,307720815.36985016,0.0006986852668435547
2025-07-02,2025-07-07 00:00:00,0000950170-25-094261,COSO,"CoastalSouth Bancshares, Inc.",0001297107,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",ALDRIDGE JOHN G JR,0001930689,,true,false,false,P,5000.0,21.5,107500.0,18129.0,D,307720815.36985016,0.00034934263342177737
2025-07-02,2025-07-07 00:00:00,0000950170-25-094283,COSO,"CoastalSouth Bancshares, Inc.",0001297107,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",FRAWLEY PATRICK M,0001229848,,true,false,false,P,4650.0,21.5,99975.0,83549.0,D,307720815.36985016,0.00032488864908225296
2025-07-02,2025-07-07 00:00:00,0000950170-25-094298,COSO,"CoastalSouth Bancshares, Inc.",0001297107,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Hemby Lauren M.,0002065869,CHIEF ACCOUNTING OFFICER,false,true,false,P,4500.0,21.5,96750.0,10250.0,D,307720815.36985016,0.00031440837007959963
2025-07-02,2025-07-07 00:00:00,0000950170-25-094273,COSO,"CoastalSouth Bancshares, Inc.",0001297107,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Askins L. Scott,0002066253,,true,false,false,P,2325.0,21.5,49987.5,13990.0,D,307720815.36985016,0.00016244432454112648
2025-07-02,2025-07-07 00:00:00,0000950170-25-094297,COSO,"CoastalSouth Bancshares, Inc.",0001297107,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Stone Stephen R.,0002064783,PRESIDENT AND CEO,true,true,false,P,2200.0,21.5,47300.0,120185.0,D,307720815.36985016,0.00015371075870558205
2025-07-02,2025-07-07 00:00:00,0000950170-25-094295,COSO,"CoastalSouth Bancshares, Inc.",0001297107,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Bruderer Ernst W.,0002067397,,true,false,false,P,2000.0,21.5,43000.0,47131.0,D,307720815.36985016,0.00013973705336871095
2025-07-02,2025-07-07 00:00:00,0000950170-25-094296,COSO,"CoastalSouth Bancshares, Inc.",0001297107,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Valduga Anthony P.,0002065949,CFO AND COO,false,true,false,P,1500.0,21.5,32250.0,81514.0,D,307720815.36985016,0.00010480279002653321
2025-07-02,2025-07-07 00:00:00,0000950170-25-094278,COSO,"CoastalSouth Bancshares, Inc.",0001297107,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Turner Cameron Bradley,0002066856,CHIEF CREDIT OFFICER,false,true,false,P,1000.0,21.5,21500.0,6000.0,D,307720815.36985016,6.986852668435547e-05
