txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-11,2026-06-11 00:00:00,0001183010-26-000050,LEE,"LEE ENTERPRISES, Inc",0000058361,NASDAQ,2711,Newspapers: Publishing or Publishing & Printing,Manufacturing,Hoffmann David Henry,0002111899,,true,false,true,P,1566.0,9.82,15378.12,11522808.0,D,180565564.90373993,8.516640483581753e-05
2026-06-10,2026-06-11 00:00:00,0001183010-26-000050,LEE,"LEE ENTERPRISES, Inc",0000058361,NASDAQ,2711,Newspapers: Publishing or Publishing & Printing,Manufacturing,Hoffmann David Henry,0002111899,,true,false,true,P,1500.0,10.47,15705.000000000002,11521242.0,D,180565564.90373993,8.697671678635064e-05
2026-06-09,2026-06-11 00:00:00,0001183010-26-000050,LEE,"LEE ENTERPRISES, Inc",0000058361,NASDAQ,2711,Newspapers: Publishing or Publishing & Printing,Manufacturing,Hoffmann David Henry,0002111899,,true,false,true,P,2500.0,10.8,27000.0,11519742.0,D,180565564.90373993,0.00014953017212553115
2026-06-08,2026-06-08 00:00:00,0001183010-26-000049,LEE,"LEE ENTERPRISES, Inc",0000058361,NASDAQ,2711,Newspapers: Publishing or Publishing & Printing,Manufacturing,Hoffmann David Henry,0002111899,,true,false,true,P,6925.0,10.86,75205.5,11517242.0,D,180565564.90373993,0.00041649967999209754
2026-06-05,2026-06-08 00:00:00,0001183010-26-000049,LEE,"LEE ENTERPRISES, Inc",0000058361,NASDAQ,2711,Newspapers: Publishing or Publishing & Printing,Manufacturing,Hoffmann David Henry,0002111899,,true,false,true,P,18200.0,10.85,197470.0,11510317.0,D,180565564.90373993,0.0010936193736899495
2026-06-04,2026-06-08 00:00:00,0001183010-26-000049,LEE,"LEE ENTERPRISES, Inc",0000058361,NASDAQ,2711,Newspapers: Publishing or Publishing & Printing,Manufacturing,Hoffmann David Henry,0002111899,,true,false,true,P,18200.0,11.08,201656.0,11492117.0,D,180565564.90373993,0.00111680208852393
2026-06-03,2026-06-03 00:00:00,0001183010-26-000048,LEE,"LEE ENTERPRISES, Inc",0000058361,NASDAQ,2711,Newspapers: Publishing or Publishing & Printing,Manufacturing,Hoffmann David Henry,0002111899,,true,false,true,P,18200.0,10.58,192556.0,11473917.0,D,180565564.90373993,0.001066404882363103
2026-06-02,2026-06-03 00:00:00,0001183010-26-000048,LEE,"LEE ENTERPRISES, Inc",0000058361,NASDAQ,2711,Newspapers: Publishing or Publishing & Printing,Manufacturing,Hoffmann David Henry,0002111899,,true,false,true,P,18200.0,10.9,198380.0,11455717.0,D,180565564.90373993,0.0010986590943060323
2026-05-29,2026-06-01 00:00:00,0001183010-26-000031,LEE,"LEE ENTERPRISES, Inc",0000058361,NASDAQ,2711,Newspapers: Publishing or Publishing & Printing,Manufacturing,Hoffmann David Henry,0002111899,,true,false,true,P,13700.0,11.74,160838.0,11405949.0,D,180565564.90373993,0.0008907456971972659
2026-05-28,2026-06-01 00:00:00,0001183010-26-000031,LEE,"LEE ENTERPRISES, Inc",0000058361,NASDAQ,2711,Newspapers: Publishing or Publishing & Printing,Manufacturing,Hoffmann David Henry,0002111899,,true,false,true,P,13700.0,10.54,144398.0,11392249.0,D,180565564.90373993,0.000799698436836387
2026-05-27,2026-05-27 00:00:00,0001183010-26-000030,LEE,"LEE ENTERPRISES, Inc",0000058361,NASDAQ,2711,Newspapers: Publishing or Publishing & Printing,Manufacturing,Hoffmann David Henry,0002111899,,true,false,true,P,13700.0,10.05,137685.0,11378549.0,D,180565564.90373993,0.0007625208055223614
2026-05-26,2026-05-27 00:00:00,0001183010-26-000030,LEE,"LEE ENTERPRISES, Inc",0000058361,NASDAQ,2711,Newspapers: Publishing or Publishing & Printing,Manufacturing,Hoffmann David Henry,0002111899,,true,false,true,P,13700.0,9.99,136863.0,11364849.0,D,180565564.90373993,0.0007579684425043174
2026-05-22,2026-05-27 00:00:00,0001183010-26-000030,LEE,"LEE ENTERPRISES, Inc",0000058361,NASDAQ,2711,Newspapers: Publishing or Publishing & Printing,Manufacturing,Hoffmann David Henry,0002111899,,true,false,true,P,10600.0,9.56,101336.0,11351149.0,D,180565564.90373993,0.0005612144267597343
2026-05-21,2026-05-21 00:00:00,0001183010-26-000029,LEE,"LEE ENTERPRISES, Inc",0000058361,NASDAQ,2711,Newspapers: Publishing or Publishing & Printing,Manufacturing,Hoffmann David Henry,0002111899,,true,false,true,P,10600.0,9.96,105576.00000000001,11340549.0,D,180565564.90373993,0.0005846962019379659
2026-05-20,2026-05-21 00:00:00,0001183010-26-000029,LEE,"LEE ENTERPRISES, Inc",0000058361,NASDAQ,2711,Newspapers: Publishing or Publishing & Printing,Manufacturing,Hoffmann David Henry,0002111899,,true,false,true,P,10600.0,9.79,103773.99999999999,11329949.0,D,180565564.90373993,0.0005747164474872174
