txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-18,2026-08-21 00:00:00,0001699604-26-000008,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,Horton Anthony R,0001699604,,true,false,false,P,2000.0,22.71,45420.0,24082.0,D,105276307.58296013,0.00043143610412255394
2026-08-17,2026-08-19 00:00:00,0001733544-26-000004,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,Lederman Evan S.,0001733544,,true,false,false,P,500.0,23.0,11500.0,7078.0,D,105276307.58296013,0.00010923635397202488
2026-08-13,2026-08-17 00:00:00,0002019046-26-000003,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,McGinnis Pamela J.,0002019046,,true,false,false,P,2000.0,22.9,45800.0,3332.0,D,105276307.58296013,0.0004350456532103252
2026-08-06,2026-08-10 00:00:00,0001493152-26-036885,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,Stewart Michael David,0002090373,,true,false,true,P,1604326.0,,,1604326.0,I,105276307.58296013,
2026-06-01,2026-06-02 00:00:00,0001782810-26-000009,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,Hill Gary L.,0001782810,Chief Executive Officer,false,true,false,P,6250.0,16.0,100000.0,51687.0,D,105276307.58296013,0.0009498813388871728
2026-05-20,2026-05-21 00:00:00,0001782810-26-000007,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,Hill Gary L.,0001782810,Chief Executive Officer,false,true,false,P,5800.0,16.22,94076.0,45437.0,D,105276307.58296013,0.0008936103683714968
2026-05-18,2026-05-20 00:00:00,0000318833-26-000028,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,Lederman Evan S.,0001733544,,true,false,false,P,600.0,16.31,9786.0,6578.0,D,105276307.58296013,9.295538782349875e-05
2026-03-30,2026-04-01 00:00:00,0001699604-26-000004,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,Horton Anthony R,0001699604,,true,false,false,P,3000.0,16.19,48570.00000000001,22082.0,D,105276307.58296013,0.00046135736629749995
2026-03-30,2026-04-01 00:00:00,0001733544-26-000002,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,Lederman Evan S.,0001733544,,true,false,false,P,1000.0,16.19,16190.000000000002,5978.0,D,105276307.58296013,0.0001537857887658333
2026-03-24,2026-03-25 00:00:00,0001473026-26-000002,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,Stenger Edward J.,0001473026,,true,false,false,P,3583.0,16.31,58438.729999999996,14890.0,D,105276307.58296013,0.0005550985909526599
2026-03-23,2026-03-25 00:00:00,0001473026-26-000002,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,Stenger Edward J.,0001473026,,true,false,false,P,1417.0,15.21,21552.57,11307.0,D,105276307.58296013,0.00020472384048059517
2026-03-20,2026-04-01 00:00:00,0001699604-26-000004,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,Horton Anthony R,0001699604,,true,false,false,P,10000.0,14.44,144400.0,19082.0,D,105276307.58296013,0.0013716286533530778
2025-12-08,2025-12-08 00:00:00,0000899140-25-001415,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,"Corre Partners Management, LLC",0001537323,,false,false,true,P,1076.0,15.13,16279.880000000001,1604326.0,I,105276307.58296013,0.0001546395421132251
2025-12-05,2025-12-08 00:00:00,0000899140-25-001415,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,"Corre Partners Management, LLC",0001537323,,false,false,true,P,1320.0,14.78,19509.6,1603250.0,I,105276307.58296013,0.00018531804969153186
2025-12-04,2025-12-08 00:00:00,0000899140-25-001415,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,"Corre Partners Management, LLC",0001537323,,false,false,true,P,600.0,14.81,8886.0,1601930.0,I,105276307.58296013,8.440645577351419e-05
2025-12-03,2025-12-03 00:00:00,0000899140-25-001408,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,"Corre Partners Management, LLC",0001537323,,false,false,true,P,700.0,14.89,10423.0,1601330.0,I,105276307.58296013,9.900613195221003e-05
2025-12-01,2025-12-03 00:00:00,0000899140-25-001408,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,"Corre Partners Management, LLC",0001537323,,false,false,true,P,13334.0,14.83,197743.22,1600630.0,I,105276307.58296013,0.0018783259456946078
2025-11-17,2025-11-19 00:00:00,0001699604-25-000005,TISI,TEAM INC,0000318833,NYSE,7600,Services-Misc Repair Services,Services,Horton Anthony R,0001699604,,true,false,false,P,4000.0,15.68,62720.0,9082.0,D,105276307.58296013,0.0005957655757500348
