txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-27,2026-05-29 00:00:00,0001213900-26-062942,CDNL,Cardinal Infrastructure Group Inc.,0002079999,NASDAQ,1600,Heavy Construction other than Building Construction,Construction,Wood Benjamin,0002123683,CHIEF OPERATING OFFICER,false,true,false,P,6739.0,49.89,336208.71,6739.0,D,945259341.0400001,0.0003556788019995592
2026-05-27,2026-05-29 00:00:00,0001213900-26-062942,CDNL,Cardinal Infrastructure Group Inc.,0002079999,NASDAQ,1600,Heavy Construction other than Building Construction,Construction,Wood Benjamin,0002123683,CHIEF OPERATING OFFICER,false,true,false,P,5355.0,50.78,271926.9,12094.0,D,945259341.0400001,0.0002876743854240241
2026-05-27,2026-05-29 00:00:00,0001213900-26-062942,CDNL,Cardinal Infrastructure Group Inc.,0002079999,NASDAQ,1600,Heavy Construction other than Building Construction,Construction,Wood Benjamin,0002123683,CHIEF OPERATING OFFICER,false,true,false,P,4206.0,51.9,218291.4,16300.0,D,945259341.0400001,0.00023093281443781327
2026-05-27,2026-05-29 00:00:00,0001213900-26-062942,CDNL,Cardinal Infrastructure Group Inc.,0002079999,NASDAQ,1600,Heavy Construction other than Building Construction,Construction,Wood Benjamin,0002123683,CHIEF OPERATING OFFICER,false,true,false,P,3600.0,53.9,194040.0,19900.0,D,945259341.0400001,0.00020527699814794944
2026-05-27,2026-05-29 00:00:00,0001213900-26-062942,CDNL,Cardinal Infrastructure Group Inc.,0002079999,NASDAQ,1600,Heavy Construction other than Building Construction,Construction,Wood Benjamin,0002123683,CHIEF OPERATING OFFICER,false,true,false,P,100.0,54.33,5433.0,20000.0,D,945259341.0400001,5.747628998854923e-06
2026-03-26,2026-03-27 00:00:00,0001213900-26-035634,CDNL,Cardinal Infrastructure Group Inc.,0002079999,NASDAQ,1600,Heavy Construction other than Building Construction,Construction,Zelman Ivy,0001856646,,true,false,false,P,6921.0,36.33,251439.93,15326.0,D,945259341.0400001,0.0002660010000254099
2025-12-11,2025-12-11 00:00:00,0001213900-25-120815,CDNL,Cardinal Infrastructure Group Inc.,0002079999,NASDAQ,1600,Heavy Construction other than Building Construction,Construction,Lee Richard Melvin Jr.,0002092630,,true,false,false,P,22725.0,21.0,477225.0,29212.0,D,945259341.0400001,0.0005048614483671159
2025-12-11,2025-12-11 00:00:00,0001213900-25-120816,CDNL,Cardinal Infrastructure Group Inc.,0002079999,NASDAQ,1600,Heavy Construction other than Building Construction,Construction,Wimmer Richard Bennett,0002092871,,true,false,false,P,10000.0,21.0,210000.0,16725.0,D,945259341.0400001,0.00022216125340687167
2025-12-11,2025-12-11 00:00:00,0001213900-25-120813,CDNL,Cardinal Infrastructure Group Inc.,0002079999,NASDAQ,1600,Heavy Construction other than Building Construction,Construction,Gidley Tiffany Leann,0002091840,General Counsel and Secretary,false,true,false,P,6000.0,21.0,126000.0,6000.0,D,945259341.0400001,0.000133296752044123
2025-12-11,2025-12-11 00:00:00,0001213900-25-120814,CDNL,Cardinal Infrastructure Group Inc.,0002079999,NASDAQ,1600,Heavy Construction other than Building Construction,Construction,Zelman Ivy,0001856646,,true,false,false,P,2275.0,21.0,47775.0,8405.0,D,945259341.0400001,5.054168515006331e-05
