txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-06,2026-03-06 00:00:00,0000077543-26-000039,TPC,TUTOR PERINI CORP,0000077543,NYSE,1540,General Building Contractors-Nonresidential,Construction,ARKLEY PETER,0001206328,,true,false,false,P,4913.0,72.85,357912.05,213513.0,D,3941937624.1759644,9.079596993238043e-05
2026-03-06,2026-03-06 00:00:00,0000077543-26-000039,TPC,TUTOR PERINI CORP,0000077543,NYSE,1540,General Building Contractors-Nonresidential,Construction,ARKLEY PETER,0001206328,,true,false,false,P,3204.0,73.28,234789.12,216717.0,D,3941937624.1759644,5.9561855712793295e-05
2026-03-05,2026-03-06 00:00:00,0000077543-26-000039,TPC,TUTOR PERINI CORP,0000077543,NYSE,1540,General Building Contractors-Nonresidential,Construction,ARKLEY PETER,0001206328,,true,false,false,P,10999.0,72.44,796767.5599999999,208600.0,D,3941937624.1759644,0.0002021258670135753
2026-03-04,2026-03-05 00:00:00,0000077543-26-000036,TPC,TUTOR PERINI CORP,0000077543,NYSE,1540,General Building Contractors-Nonresidential,Construction,SMALLEY GARY G.,0001428396,CEO and President,true,true,false,P,8435.0,73.57,620562.95,91414.0,D,3941937624.1759644,0.00015742586747037238
2026-03-04,2026-03-06 00:00:00,0000077543-26-000039,TPC,TUTOR PERINI CORP,0000077543,NYSE,1540,General Building Contractors-Nonresidential,Construction,ARKLEY PETER,0001206328,,true,false,false,P,5884.0,73.85,434533.39999999997,197601.0,D,3941937624.1759644,0.000110233454059496
2026-03-04,2026-03-05 00:00:00,0000077543-26-000036,TPC,TUTOR PERINI CORP,0000077543,NYSE,1540,General Building Contractors-Nonresidential,Construction,SMALLEY GARY G.,0001428396,CEO and President,true,true,false,P,1500.0,71.32,106979.99999999999,82979.0,D,3941937624.1759644,2.7138937801524303e-05
2026-03-04,2026-03-05 00:00:00,0000077543-26-000036,TPC,TUTOR PERINI CORP,0000077543,NYSE,1540,General Building Contractors-Nonresidential,Construction,SMALLEY GARY G.,0001428396,CEO and President,true,true,false,P,65.0,74.3,4829.5,91479.0,D,3941937624.1759644,1.2251589092583815e-06
2025-11-25,2025-11-25 00:00:00,0000077543-25-000276,TPC,TUTOR PERINI CORP,0000077543,NYSE,1540,General Building Contractors-Nonresidential,Construction,ARKLEY PETER,0001206328,,true,false,false,P,8898.0,64.05,569916.9,185468.0,D,3941937624.1759644,0.00014457785848885353
2025-11-25,2025-11-25 00:00:00,0000077543-25-000276,TPC,TUTOR PERINI CORP,0000077543,NYSE,1540,General Building Contractors-Nonresidential,Construction,ARKLEY PETER,0001206328,,true,false,false,P,6249.0,64.88,405435.12,191717.0,D,3941937624.1759644,0.0001028517340085394
2025-11-24,2025-11-25 00:00:00,0000077543-25-000276,TPC,TUTOR PERINI CORP,0000077543,NYSE,1540,General Building Contractors-Nonresidential,Construction,ARKLEY PETER,0001206328,,true,false,false,P,24853.0,63.96,1589597.8800000001,176570.0,D,3941937624.1759644,0.00040325292573149097
2025-11-19,2025-11-20 00:00:00,0000077543-25-000267,TPC,TUTOR PERINI CORP,0000077543,NYSE,1540,General Building Contractors-Nonresidential,Construction,SMALLEY GARY G.,0001428396,CEO and President,true,true,false,P,4900.0,61.06,299194.0,117975.0,D,3941937624.1759644,7.590023702177288e-05
2025-11-19,2025-11-20 00:00:00,0000077543-25-000267,TPC,TUTOR PERINI CORP,0000077543,NYSE,1540,General Building Contractors-Nonresidential,Construction,SMALLEY GARY G.,0001428396,CEO and President,true,true,false,P,100.0,61.95,6195.0,118075.0,D,3941937624.1759644,1.5715621581645455e-06
