txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-18,2026-03-19 00:00:00,0001437749-26-009049,FRD,FRIEDMAN INDUSTRIES INC,0000039092,NASDAQ,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",Manufacturing,Chhibbar Gaurav,0002079108,Chief Operating Officer,false,true,false,P,400.0,16.94,6776.000000000001,51400.0,D,145941998.415699,4.6429403965672334e-05
2026-03-09,2026-03-11 00:00:00,0001437749-26-007670,FRD,FRIEDMAN INDUSTRIES INC,0000039092,NASDAQ,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",Manufacturing,Taylor Mike J,0001692215,President / CEO / Director,true,true,false,P,500.0,18.0,9000.0,223166.0,D,145941998.415699,6.16683346651492e-05
2026-03-03,2026-03-05 00:00:00,0001437749-26-007011,FRD,FRIEDMAN INDUSTRIES INC,0000039092,NASDAQ,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",Manufacturing,Taylor Mike J,0001692215,President / CEO / Director,true,true,false,P,400.0,18.0,7200.0,222666.0,D,145941998.415699,4.933466773211936e-05
2026-02-23,2026-02-25 00:00:00,0001437749-26-005578,FRD,FRIEDMAN INDUSTRIES INC,0000039092,NASDAQ,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",Manufacturing,Taylor Mike J,0001692215,President / CEO / Director,true,true,false,P,100.0,18.0,1800.0,222266.0,D,145941998.415699,1.233366693302984e-05
2026-02-19,2026-02-23 00:00:00,0001437749-26-005047,FRD,FRIEDMAN INDUSTRIES INC,0000039092,NASDAQ,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",Manufacturing,Chhibbar Gaurav,0002079108,Chief Operating Officer,false,true,false,P,1000.0,18.35,18350.0,51000.0,D,145941998.415699,0.00012573488234505418
2026-02-18,2026-02-20 00:00:00,0001437749-26-004875,FRD,FRIEDMAN INDUSTRIES INC,0000039092,NASDAQ,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",Manufacturing,Taylor Mike J,0001692215,President / CEO / Director,true,true,false,P,600.0,18.75,11250.0,222166.0,D,145941998.415699,7.708541833143649e-05
2025-12-02,2025-12-04 00:00:00,0001437749-25-036910,FRD,FRIEDMAN INDUSTRIES INC,0000039092,NASDAQ,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",Manufacturing,Taylor Mike J,0001692215,President / CEO / Director,true,true,false,P,500.0,18.74,9370.0,221566.0,D,145941998.415699,6.420358842360533e-05
2025-12-01,2025-12-02 00:00:00,0001437749-25-036648,FRD,FRIEDMAN INDUSTRIES INC,0000039092,NASDAQ,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",Manufacturing,Scott Sandra Kay,0001933349,,true,false,false,P,500.0,20.27,10135.0,10569.0,D,145941998.415699,6.944539687014301e-05
2025-11-28,2025-12-02 00:00:00,0001437749-25-036648,FRD,FRIEDMAN INDUSTRIES INC,0000039092,NASDAQ,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",Manufacturing,Scott Sandra Kay,0001933349,,true,false,false,P,500.0,20.05,10025.0,10069.0,D,145941998.415699,6.869167277979118e-05
2025-11-24,2025-11-25 00:00:00,0001437749-25-036288,FRD,FRIEDMAN INDUSTRIES INC,0000039092,NASDAQ,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",Manufacturing,Taylor Mike J,0001692215,President / CEO / Director,true,true,false,P,1000.0,19.47,19470.0,221066.0,D,145941998.415699,0.00013340916399227277
2025-11-21,2025-11-25 00:00:00,0001437749-25-036288,FRD,FRIEDMAN INDUSTRIES INC,0000039092,NASDAQ,3310,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",Manufacturing,Taylor Mike J,0001692215,President / CEO / Director,true,true,false,P,1000.0,19.28,19280.0,220066.0,D,145941998.415699,0.00013210727692711962
